Content,Date
"👃🏼Smell ≈ Savagely fantastic.

🦾Performance/Projection/Longevity ≈ Decent power. About arms length, 6~8 ft. radius. About 6~8 hrs. on skin. Above 6~8+ hrs. on clothes.

🌄Versatility🌃 ≈ Anywhere at anytime during Summer &amp; Spring. Maybe... Fall &amp; Winter.

💸Price/Value🏷️ ≈ An exorbitant price. I feel, Dior Sauvage EDT, is way over priced. Even for a 6.7~fl.oz. So, for me to actually spend this amount of money, is very rare. Overall... It's an uneconomical purchase. But, I wanted to have it.

📝Anyways... I hope my truthful and honest, review/opinion, assessed through my knowledge and experience of this cologne, helps! I know that I really appreciate, honest and truthful, opinions/reviews.",2023-01-03
El perfume es genial pero es un vendedor externo que pone muchas trabas ya que la unidad que he recibido tiene problemas en el atomizador hacer que pierda líquido el cual perdió bastante en el transporte y perdí un 80% del mismo aun estoy a la espera del vendedor para saber que opciones tengo ya que las enviadas inicialmente las veo una estafa ya que si me quedo con el producto me reembolsa solo 35 usd una cantidad insignificante ya que el perfume pasa los 160 usd y tan solo me llego poco menos del 20% del líquido! Esperemos que todo salga bien,2023-01-03
"If men say when they wear this product they have women asking what perfume they are wearing, it is because the women want to buy it and wear it on themselves.

This stuff smells like something my mother would have worn in the 1980s. It literally smells like the word perfume - there is nothing distinctive about it other than it does not belong on a man's body.

I have tried to give the full bottle away for a month now - for free, and no one I have asked will take it.",2023-01-01
"Bought this just about a year ago, from the minute I got it and sprayed it on I knew something was wrong. I’ve had numerous bottles of this cologne throughout the years and they all smelled the same. This one does not smell like real Dior Savage nor does it last on your body for more than 10 minutes. Pretty upsetting that I spent $158.00 on a fake bottle of cologne that I’ve had for a year and haven’t used",2023-01-04
"Compré esta colonia con la seguridad que no iba sufrir un desencanto pero es que como si rociara alcohol en mi cuerpo, no se siente ni a 10 minutos de haberla usado, me siento estafado totalmente disculpe que sea tan duro pero he tenido colonias baratas y siento mas el aroma que está famosa colonia Sauvage de Dior …. 90 dólares tirados por agua con alcohol,,, la verdad una decepción total",2023-01-05
"This is 100% authentic!. You can tell by the batch codes on the bottom (has to match with the one on the box) and the bottle itself

real if: has good magnetic cap, bee logo inside of cap, of course the codes, and how clear the words are on the bottom of the bottle. (If it is kind of hard to read it is real)

ALSO PAIR THIS WITH THE MIDNIGHT BATH AND BODYWORKS LOTION. It’s amazing!",2023-01-05
"Sprayer on product does not work properly and leaks when applied. Have contacted seller with concerns; however, have not received a response. 100 bucks down the drain. Also it was not a parfume product so its over priced at price advertised. I'd steer clear of this seller given price point way too high and product defective with no customer support to resolve.",2023-01-04
"Tengo la sensación de que es un producto fake, por la razon de que el batch code es diferente, tengo una pequeña colección de perfumes y en todos caja y frasco tienen el mismo batch code, asi que este es una imitación bien realizada, lo mas importante el olor no es malo pero no es tan explosivo como se supone que debe ser un sauvage",2023-01-03
"I am the guy who has been using dior for long time. So i know how/long it smells/stays on you.. so far i was always buying it at the store..this time i tried to get online/amazon..this is just NOT dior. It is mixing of water and alcohol…it is not a perfume… DO NOT BUY THIS ONE…it is up to u, but i’ll never get it..bye",2023-01-05
"This EDT is the pride of Sauvage, I usually would go for the stronger concentrations but this is where Sauvage made their name and if you haven't tried the edt you need to try it, it is a fresh and woody scent but what captivates me most is the wood, I see why women crave it so much.",2023-01-04
