Content,Date
I love love love the air Jordans!! I’m just so sad my son can’t fit them! Unfortunately I’ll have to return them. These shoes are the real deal!! This seller is top tier with selling original and authentic shoes. It came in its original box and packaging as if I went and purchased them from my local retailer store for them! Love them will be buying again in correct size!,2023-01-03
You can always count on Amazon for everything! We looked for these shoes everywhere with no success. I turned to Amazon and ordered them never thinking they were real or that they would actually get here but they did! The look on my daughter face when they arrived and the pure joy she feels every day when she wears them was priceless and will always be treasured!,2023-01-05
"My grandson was thrilled with these shoes.  After I assured him it was okay to ""crease"" them when walking, he wore them proudly and everywhere.  He loved the two different colors of shoe laces...one black and one orange seems to be the way to wear them.  They are well made and seem to support his foot well.",2023-01-01
My sneakers were not going to make it on time and I was going out out town. I contacted the seller and they were able to get my sneakers to me on time. The fit was perfect and the sneakers were comfortable. I walked in them all day. Thank you for great customer service.,2023-01-05
Loved the quality and authenticity of the shoes. Very high quality. No damages or creases on shoes. Highly recommend purchasing from them. I purchased these for my brother &amp; he is obsessed! Will definitely be purchasing from Backdoorsolez again!,2023-01-04
After searching the internet for sneakers I found these for my grandson.  He is one happy little boy! They were delivered in a responsible time frame and as described by the seller. I’m happy I bought them.,2023-01-05
"Wow I am absolutely in love! So far, they’re super comfortable! I love that they come with 2 different color laces &amp; they look even better in person 😍 These sneakers can literally go with anything!",2023-01-03
"Nike puts a QR code in all these sneakers when you scan it it should take you to the description of the sneaker you have, well when I scanned mine it did not do that, which means it's fake.",2023-01-05
Been eyeing these for some time and ordered when they were down to 2 pairs left. Glad I did! They fit well and are definitely authentic. Shipping was super fast,2023-01-04
"The shoe is not the same size. Right foot is a 9.0 and the Left Foot is a 9.5
Unbelievable how this happen.
Expensive Shoes is suppose you guys have more care.",2023-01-05
These are what my son expected.  He has picked up my brother's hobby of collecting shoes.  Box was a little rough looking but we new they weren't brand new.,2023-01-05
"These Nike shoes are a gift for my Grandson. The box came without a top, just plastic wrap. I assume this was not how they are supposed to come.",2023-01-02
They are beautiful! Mint and blues Jordan’s..  My kid will be the shine of the school in his new Jordan’s! 💙 will definitely order again!,2023-01-05
Perfect condition. Fit perfect. Authentic. My favorite kicks. I got 2 pair of them just so I can dog one pair up and not care too much.,2023-01-04
These shoes are hard to spot but they are fake the logo dosent even say jordan but I can see that it really fools people,2023-01-05
Best pair of sneakers I ever purchased. When I  wear em. Everyone stops me to see where I purchased them. I just love em,2023-01-05
My grandson loves these; they fit well and look great! They’re expensive but these are what he wanted for his birthday!,2023-01-03
These are retro enough for me and modern enough for my son. He gets compliments from everyone when he wears them.,2023-01-01
My son uses these for basketball because they are so comfortable and fit like they were made just got him!,2023-01-03
I like these a lot! Definitely go half a size up if you want comfort and room they run a little small.,2023-01-03
"My 14yr old nephew, absolutely LOVES his new Nike Basketball shoes!! It’s exactly what he expected!!",2023-01-05
The look of the shoe is perfect shipping was excellent. No complaints here! Exactly what I wanted!,2023-01-05
Muy Satisfecha me encantó mis tenis lo recomiendo Y llegó muy rápido a tiempo antes de la fecha,2023-01-05
It was not authentic Jordan tennis shoes. I thought they were authentic because of the price.,2023-01-02
I thought it would be a copy but luckily this seller is honest and sells original products.,2023-01-03
Had to stretch the shoes out at first. But the shoes fit perfectly. My first pair of Js.,2023-01-03
Shoes are are fake! And priced like original!👎🏻 Wanted to give 0 stars but couldn’t,2023-01-04
"My daughter wasn't a big Jordan fan, But now she is becoming a stylish sneakerhead!",2023-01-04
These shoes arrived with discoloration on them! Definitely not worth $250.00,2023-01-05
So sad they started to fall apart before a month almost 200$ down the drain,2023-01-05
es muy buena calidad y el tamaño fue exacto el que pedí y esta muy bonitos,2023-01-03
"The shoes are real, they came in perfect condition and they fit perfectly.",2023-01-03
Thank you! Exactly as pictured. Authentic. Great price! Shipped quickly.,2023-01-01
Tienen muy buen acabado. La combinación de colores contrasta muy bien.,2023-01-02
"A mi hijo le encantaron.
Llegaron mucho antes de lo previsto!.",2023-01-03
"Son hermosos , cómodos y fácil de combinar súper recomendados",2023-01-02
Todo me agrada bien envuelto cuando llegaron súper hermosos,2023-01-05
My son loves your shoes! And got delivered on time thanks!,2023-01-03
Perfect condition loved the sticker and delivered fast!,2023-01-03
Sneakers arrived new and unworn and on time. Thank you!,2023-01-05
I love the color scheme on these highly recommend it!,2023-01-04
Fit perfectly. Fast shipping and the boy was happy.,2023-01-04
Really love it and worth the price! High recommend.,2023-01-05
"Llego muy rápido y están súper bonitos, no es fake",2023-01-05
Perfect! Lots of compliments they came quick too,2023-01-05
"We were most worried about fit, she loves them.",2023-01-03
Shoes are very nice. Fit perfect to the foot.,2023-01-01
"Love the sneakers, she want me to buy all.",2023-01-04
I like these papi chulos ahhh papi  daddy,2023-01-02
"Perfect size, right on time, good quality",2023-01-05
