Content,Date
"Has flaws, but overall its a pretty solid system This review is targeted at newcomers so for veterans of Nintendo products, not much new information here! As for everyone else looking at this gaming system wondering if its right for them, I'll do my best to explain what this model in particular brings to the table. In my particular case a: ""Nintendo Switch with Gray Joy‑Con - HAC-001(-01)""Introduction to the system/What is a Nintendo Switch?:The Nintendo Switch is a ""hybrid system"". Lets break it down to its core do understand what people mean by ""hybrid system"", lets start with what is basically a gaming tablet with a plastic screen and a multi-touch-touchscreen. This is the ""Switch itself"" so to speak. For a ""console"", it is EXTREMELY thin in comparison to a PS4 or Xbox One for example. This also means it takes significantly less energy to run. The internal cooling fan is also significantly quieter than either of the prior two other consoles mentioned.That multi-touch-touchscreen allows for certain mobile games like Muse Dash, VOEZ, Deemo, and many others to be ported to the Switch without compromising their touch screen gimmicks from their mobile phone counterparts. Despite this, many of them do have support for button controls. Many Switch games gives you options on how you want to play and this is a running theme with the Switch.Now for the controllers which are ""hybrid controllers"" in a way. For those of you who used the Nintendo Wii, these ""Joy Cons"" share and improved upon the motion controls from the Wii days, except in addition to the motion controls, Nintendo also made the actual button layout resemble a regular controller like the button layout found on a Xbox One controller for example. Not that weird button layout on the Wii for example. This means both the Wii crowd can assimilate into this new generation of Nintendo, along side the core gamers who would prefer a more ""traditional"" controller button set up.Normally a player would use both Joy Cons together as a pair, whether that be attached to the Switch Tablet itself to be played on the go like a 3DS (be it much longer than a 3DS), at home and connected to a plastic grip that gives you those controller ""thighs"" to make it easier to hold and to make it feel more like a more traditional controller even more. You can even use the Joy Cons without them being attached to anything like the Wiimote and Numchuck, but without that annoying wire in between your controllers. This ""detached"" controller style option with the Joy Cons allows you to play in positions otherwise impossible with a more ""static"" controller. For example, you can play with one arm behind your head while the other arm is resting on your stomach as you play from your bed or couch.These Joy Cons also have two buttons on the plastic rails that connect them to the Switch Tablet piece. These buttons are functional and you can actually use just a single Joy Con per player in certain supported games.Key word ""supported games"". This is where the main issue with the Nintendo Switch lies, Nintendo laid the foundation for developers to have the best tools at their deposal but not all of them use them. Some developers have games that cost less overall on the Switch than their original releases on other systems, or from mobile with mobile's atrocious micro-transactions , meanwhile there's other developers that neither have the full game on the physical game cartridges while having the audacity to be more expensive on the Switch. But again, its ALL developer based. Research the game developers in question to see if you're getting the best value for buying their ports (or original) releases on the Nintendo Switch.Oh right, this gaming system uses cartridges. Don't worry, they're not those huge ones from the Nintendo 64 days! They're more Nintendo 3DS sized if anything. If the developer you choose did it properly, a entire game can fit on these cartridges. This means you can play those properly done physical releases immediately without any additional downloads. But again, developer based. Some of them DO only ""partially"" have the game on the Switch Cartridge(s). Do your research.Now to talk about the Dock that connects the Switch Tablet to a TV.If you open up the back side of the Dock, there should be two slits near the bottom of the Dock. The Switch Tablet has two air vents that when ""docked"" should be right up against those vents. Please try not to block off those vents so the Switch Tablet as a easier time cooling itself off while you (and others) play in ""TV Mode"". The Switch Tablet also has a air-vent on the top. So keep that area of the Switch Tablet clear as well.This particular model of the Nintendo Switch, model number ""HAC-001(-01)"", is different from day one Nintendo Switch systems in the sense that Switches with the model number ""HAC-001(-01)"" have better battery life. For example, day one Switches would run really graphically/resource intensive games for about 2 hours 30 minutes (or 2.5 hours) minimum. Whereas this new ""HAC-001(-01)"" numbered Switch(es) can run those games for up to 4.5 hours minimum in ""handheld mode"". The way these ""new Switches"" accomplish this is by having a more efficient component in the inside of the Tablet piece. This also means these new Switches are more energy efficient and less prone to overheating than the day one models. So this is even helpful for people who would use this gaming system for TV use.If you don't have a Switch yet, I recommend this model for its versatility. You never know when you'll change your mind on ""how"" you want to play. I used to use it mostly in TV mode but eventually started using it more and more while outside in general. For example, on the bus, while waiting for something to start whether it be a class, jury duty, meeting, you name it. The Nintendo Switch will make that wait all the less painful. Waiting to be called or dismissed for jury duty especially.Oh, I almost forgot! You CAN use power banks with the Nintendo Switch! The minimum power requirements for a power bank to work with a Nintendo Switch is 5 Volts, and 2.4 Amps. The cable you use to plug the Switch Tablet with a power bank can be found bundled with the Nintendo Switch Pro Controller, or the Nintendo Switch Charging Grip. Both of those products come with the USB cable required to use a Nintendo Switch with a power bank. So even if you manage to drain this new Switch's battery life on a long trip, bring a battery bank and you can extend its battery life even further. But again, this mostly won't be needed unless you're on a air ride for over 7 hours or so. Anything less than that, if you're smart about it, you can get away with just the Switch's battery life.Speaking of battery life, the Joy Cons each have a estimated battery life of 20 hours each. Let me repeat that, 20 hours. That brings its competition's controllers to shame!So if you keep your Joy Cons charged overnight (they charge when connected to the Switch Tablet while the Tablet is charging in either the Dock or via battery bank), they ain't going to die unless you deliberately go out of your way not to charge them at least once a week.When their batteries are completely dead, both the Switch Tablet and one pair of Joy Cons takes about 3 hours to fully charge everything. So if you're able to, put the Switch Tablet with the pair of Joy Cons connected to it, and leave the three of them in the Dock overnight to keep everything nice and charged for tomorrows challenges.Get creative, once you get used to the options the Nintendo Switch offers, going to anything else, you'll realize that you'd taken for granted with the Nintendo Switch! In my particular case, using the two Joy Cons in each hand unconnected. I can't do that with a keyboard and mouse! So get your Joy Cons, get them in a position that works for you, get cozy on your couch, bed, etc. and have some fun with your game(s) of choice!Just keep in mind it is a GAMING SYSTEM FIRST, and the ""entertainment media center"" SECOND. So as of January 15th, 2020 don't expect things like Netflix to be on this machine. If you treat it as a DEDICATED gaming system, you're in for one hell of a ride!Just don't forget your screen protector since the Switch Tablet's screen is made of plastic!If you don't want to go through all of them, get this one:https://www.amazon.com/gp/product/B06XDWBPMZ/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1It should serve most peoples' needs. Its durable, cheap, anti-glare, self heals from minor scratches, etc. Its the most value for the price I've found from searching through all of what Amazon has as far as Switch Tablet screen protectors go.As far as the ""system itself"" goes, this is pretty much all of the information that you'd need. Everything else is developer centered, game wise. Do your research, and think very carefully which developers will give you the best bang for your buck!",1/1/23
"It’s pretty but not sturdy. This is my first switch console. So let me start off by saying the console itself is absolutely beautiful. The design on the back is so pretty and the joycons are gorgeous as well.My biggest issue is not the console itself. But the accessories for it. I’m sure you’ve seen the terrible reviews for the joycons themselves. If you haven’t please check them out. I had done my research on them before hand and ended up buying a different controller just because I was so nervous about using the joycons. The idea is awesome. But they feel so flimsy and cheap. I hadn’t planned to even use the ones that came with the console. I planned to put them away as collectors items. But of course I had to use them to start up the console. As I was holding them I felt the plastic on the back of the right joycon move and make a loud snap. I thought I broke it and I hadn’t even done anything. I was just setting up the console. The colors may look great. But after having that as my first experience I do believe all the reviews I’ve seen for them.The next thing that feels awful is the dock. I had planned to play with the console docked the majority of the time. But just putting the console in makes me cringe because no matter how gentle or slow you are it still hits the sides of the dock when attempt to dock it. There’s only two tiny pieces of soft rubber like material in the dock itself. Which doesn’t protect the console enough. So I ended up buying a screen protector immediately just to give some protection from the dock itself. Just pushing the power button makes the console move and jiggle around in the dock, making it repeatedly hit hard plastic. It doesn’t feel secure whatsoever. The actual part that connects to the switch inside of the dock is very lose as well. The door on the back of the dock also feels cheap. Reminds me of the doors on the Wii. It feels like it could pop off rather easily.Let’s move on to the console a little bit. I have used the kickstand. It doesn’t feel super stable and I’d worry if I didn’t have it standing up on a very stable surface. I’d be nervous to have it anywhere near children or accident prone people like me while using it. The screen looks great though. But the hdmi quality of the console menu looks horrible on my monitor. Games seem to look great though, just not the menu/home/settings etc. So I’m not sure if there’s a way to fix that or not. I play other consoles on my monitor and they look beautiful. Another thing, while holding the console with the joycons attached it feels huge. Too big, awkward, and heavy for my tiny hands and I wasn’t even holding it that long. So if you are thinking about getting the switch to playing more mobile and you have tiny hands, maybe consider a switch lite? Unless you want docking and kick stand capabilities which isn’t something the lite can do.The console works great. It’s fast and easy to use and navigate. The buttons feel sturdy as well. I’ve been playing Animal Crossing for hours while docked and the console never gets hot. Just a little warm.Overall this console was a cool idea. Just wish they would have put a little more time and money into making some parts a little more sturdy.",1/5/23
"Very well designed console but age has shown The switch is a very well designed console that remains versatile and great for portability. However, the hardware, high reoccurring costs for getting games, and exclusivity to Nintendo store causes it to not be perfect, especially when the price remains close to original.This console does a lot of things right. The controllers are easy to use and come with accessories for different handheld modes. Battery life on both the switch and the joycons are pretty good. Touch screen is very responsive and rarely causes mistakes. Easy to use out of the box and setup is painless. Has the ability to backup save data to the cloud and restore on another switch if needed. And of course, putting it on the big screen makes things that much better.Below are some of the major problems that I believe will impact purchasing decision.Cost is the most important to me. When you are spending around $300 for a console, you shouldn't be expected to pay extreme prices for the games. However, Nintendo continues to sell to you that way. While many games get discounted during sales, there are still a lot of popular games that will sell for $60. Games that are available on PC that are on the Nintendo store also seem to sell higher there. The entry cost may be $300, but the expect to rack up a couple more hundred if you want the latest games. Don't forget, you also need to pay for the Nintendo online membership to get full functionality on a lot of these games.Hardware is another big issue. Hardware is very lacking at this point. First time launching into the Nintendo store, I'm already experiencing lag that really shouldn't happen. For most games, things run fine. But newer games have already had users reporting poor user experience. The hardware is in dire need of an update to be able to support new games. If considering OLED version, I would not buy unless you really value the larger screen and like playing on the go. Switch still only supports 1080p when docked. And for those of you who like using bluetooth speakers, know that once you hookup a bluetooth speaker, you are limited to pairing 2 controllers.Nintendo environment reminds me a bit of Apple. Nintendo likes to make their things exclusive to them. This means that only the switch can use the Nintendo store for games and it's also the only place. If the game you want to play is not on the Nintendo store, then you're out of luck. There are other competitors out there that allow you to put any software on their handheld consoles, which allow for a plethora of different options. However, with Nintendo, you are stuck in their environment.Overall, still a fun console with some of the best Nintendo games. However, unless you already have a number of games you like, it's not worth spending the money on an outdated console for 1 or 2 games.",1/1/23
"Best battery life, largest screen and HD rumble make this a better buy than the Lite version. I don’t use this the way that Nintendo advertises; predominantly hand held.  I have the Skull & Company Grip Case attached at all times and only play in handheld mode.  The Switch Lite is too small and doesn’t have the HD rumble like this one has.  This model is the better one with the longest battery life currently available.  This is not designed with comfort in mind for handheld play sessions so the Lite may be a better option if comfort is important.  If you get hand cramps like I do, I highly recommend the Skull & Company grip case.  They also have a great travel case that you can get with it that has plenty of space for the switch with case and joycons attached and space for games, a power adapter and power bank.  It is very good quality and the Switch is dockable with the grip case attached.The switch itself has a much faster, more user friendly, prettier, less congested graphics user interface than all of Nintendo’s previous consoles.  It has a solid state drive for saving and downloading some games, and is expandable with the purchase of Micro SD cards for additional space.  The online store is easy to use and probably the best Nintendo has ever had.  Easy to sort by price, genre, developer.  It is fast and easy to use and you can sort for free games and demos too.  The load time between starting games and between cut scenes in game is very quick on hard drive, sd card, and game cartridge.  Much quicker than nintendo’s previous consoles.  I haven’t played with the joy cons detached so I can’t comment on how responsive the joycons are to movement and player interaction when joycons are detached.  The HD rumble is more subtle than on PS4 and XBox but some games have used it very well.  Mario Odyssey for example has done a great job of blending the environments in some levels to match well with the rumble feedback; its hard to explain, but this feels like the next step in controller evolution and PS5 and NextBox will be adopting a similar tech so more developers should get on board with HD Rumble in future games, hopefully.  The switch buttons have a nice click and feel like they will last, much like most of Nintendo’s products but the stick feels a little looser than the PS4.  I would like Nintendo to tighten that up for the Pro version.  Overall, this is decades of Nintendo engineering in the making which has resulted in, arguably their best console to date.  It is going to shatter console sales records for good reason.  I highly recommend this version of the Switch for the battery life, larger screen and hd rumble, but you may want to get a comfort grip if you will be using it predominantly as a handheld.  I no longer play on my 3DS because this is a much better player experience.",1/5/23
"(New) Nintendo Switch HAC-001(-01) This revised model of the Switch comes with a number of features that I honestly can't fully appreciate as someone who didn't own the previous model. The big thing that drew me in was the extended battery life, even though so far I haven't played much in handheld mode and not at all in tabletop, but they use the same amount of battery either way I would imagine. The reason I'm giving this system five stars probably say more about how good it is than anything else. But I pretty much expected as much. I'm sure by now you can go online and find more detailed reviews for the gaming system, but in case you're wondering here, this one comes with the system, two gray joycons, two attachments to turn each joycon into its own controller, a base to connect both joycons into the formation of a singular controller, the required cables, and the Switch dock. So you'll probably want to buy a few things alongside this such as an SD card for reasonable storage space, a pro controller for a more standard controller experience, maybe a dock sleeve to prevent the possibility of scratching the screen from insertion and ejection of the system, an online pass if you plan to play any games with online features... just basically a lot of things that would be nice if they came with the system itself. This will inflate the price further, but the thing here is that this is going to replace the old models of the Switch and simply make this the main one manufactured now. So... basically, if you want a cheaper Switch you'll want to get a Switch Lite and this one will still cost about 300 bucks like the 2.5+ year-old original variant still costs. That is, unless you want to go used. I'm only bringing up these points because while this is a great system, I do think you should be aware of what is likely to happen with prices and availability going forward and plan accordingly. Once I realize a Switch was still going to cost the same if I wanted the ability to do on and off TV play I decided I might as well just hop on board with this newer variant. I'd recommend you do the same as it has had tweaks to make it just a slightly better version all around than the previous model. Otherwise, if price is a concern, wait for the Switch Lite and see how it tickles your fancy. Also, here's tip. If you want to turn the system off as opposed to leaving it in sleep mode, simply hold down the power button on the system for a few seconds and then a menu will appear with the option to restart or shut down. Also note that you cannot play on the TV off of the Switch's battery power. The dock needs to be plugged in for the dock to function. I hope something in here was helpful.",1/5/23
"It has its pros & cons..but more pros! I bought the Switch a few months ago and now that I’ve spent some time with it (more than I’d like to admit ^_^) I wanted to leave a review.The Switch has many pros over other consoles, it’s main pro being that it’s a portable console with games that previously are only found on PC or console. I am a PC gamer and my PC is an absolute beast with an 8700K & 2080 Ti BUT the reason I bought a Switch is because oftentimes I am out and about and can’t bring my big honkin’ PC with me. Obviously I prefer my PC but it’s nice to be able to play games like Witcher 3 and then  when I have to go somewhere in the car or something I can seamlessly “Switch” to the Switch and continue my game.There are some absolutely AMAZING games on the Switch: Zelda: Breath of the Wild, Mario Kart 8 Deluxe, Witcher 3, Splatoon, Super Smash Ultimate, etc., which are worth buying the Switch. This is especially true for people with kids as most of Nintendo’s big hits are kid friendly. You may not want your very young children to play violent games like Call of Duty or Battlefield 5 but they can definitely play a similar kind of game with Splatoon 2 only instead of shooting bullets to kill people they’re splattering paint all over each other.However the Switch also has its cons. Let’s start with Nintendo’s “E-Shop”. The E-shop sells games that are WAY overpriced. They charge $59.99 USD for games that have been out for years. The fact is you can buy physical copies of these games for less on Amazon AND you have the benefit of being able to resell the game later if you want too. Not so with digital games.Then there is the price. Yes the Switch is $299 which is cheaper than Microsoft and Sony’s consoles but when you factor in the cost of necessities that are almost required for optimal play (Pro Controller, SD card, Screen Protector) the cost adds up quickly.All in all though I do recommend the Nintendo Switch. It’s a great console for anyone who just wants to have a good time and it’s especially great for families or people with young kids who want to play games with them without worrying about violence, drug use, sexual situations, etc., that are in a lot of other games.5/5 Stars",1/5/23
"Incredibly Disappointed Bought this as a Christmas gift for my girlfriend. Received it in December and it ran fine until mid-February when it just stopped displaying to the TV (the same TV we have used multiple times before, with no issue). The console also would not charge or connect to the dock, but charged on the power adaptor just fine. Tried to connect it to two other TVs to no avail. Tried using another dock and it still would not connect. I called Nintendo Customer Service and went through some troubleshooting procedures, including the apparent issue with cables needing to be plugged in, in a certain order, which blows my mind that, that could even be an issue with a modern day console. None of the troubleshooting resolved the issue so they set up a repair order and I shipped it ro their repair facility. I finally had it delivered back today and it looks to me like they replaced the power adaptor, dock and console. Same exact issues as before. The console still does not connect to the dock and the dock does not connect to any TV. I even tried a few different HDMI cables, including the one that came with the Switch, and still nothing. The TVs have no issues connecting to the Xbox, PlayStation and PC that is with each of them, so how the Switch struggles, I have no idea. It amazes me that I even have to have all this hassle with a console that hasn’t even been in our possession for THREE MONTHS.I will be seeking a refund for the console and all the purchases made on the account. With the amount of time and money I have wasted on the Switch, I could have just bought an Xbox or PlayStation that would be better all around. Only nice thing about the Switch is how mobile it is.Incredibly disappointed with the product. Which is odd to say because I used to love the old DS systems.The customer service Reps I spoke with were very kind and as helpful as they could be however.The customer service Reps also let me know that when purchasing a Switch through Amazon, the warranty tied to the serial number on the console does not get activated for some reason. So make sure you register your console if bought through Amazon.",1/5/23
"Great for younger kids or mobile gaming. This is, strangely enough, the first portable system I have ever bought in my 30+ years of gaming. I’ve actually bought 2 Switches so far. The first one was a Christmas present for my son who I was trying to ease into video games. He loves it. After him having it for a year and me occasionally playing it to help him through areas where my greater experience with games could help get through certain areas, I was tempted to get one for myself to play when I had long periods of downtime at work. When Witcher 3 came out for the switch, I bought another one for me and have been playing it a few times per week since.My experience with the console is pretty much strictly in the handheld mode. I bought a Satisfye grip and case for my switch which allows me to hold the system more comfortably than I would without it. Holding the standard system and playing for more that 20 minutes or so causes my hands to cramp. The small joycons are just too small for adult male hands to use for long without some discomfort. I’m fine with that since the small size makes the system easier for kids, like my son, to use. A regular controller can be a bit bulky for a grade school age kid to use well. With the case and grip, this system is perfect for me to throw into my vehicle at work and forget about it until things slow down when I’m waiting for a call. Then I can break it out and pass the time in style.All in all, I have no complaints about the system, my son loves it and uses it constantly. I like it for its portable nature and surprising computing power. It is the first portable system I’ve experienced that didn’t feel like a downgrade or gimmick. The Switch instead feels like a true portable version of a larger console like PS4 or XB1. I still play on my PS4 far more than I do the Switch, but I can’t take that system to work and play in the office or car. If you have young kids, or a desire to game on the go with something better than your phone, then it’s hard to go wrong with the switch.",1/6/23
"Love the Switch - A Casual Gamer's Best Console This is my review of the 'V2' (2019) version of the Nintendo Switch (model #HAC-001(-01)).So a little background, I was a enthusiastic PC gamer in college who built my own PCs for the purpose and am now - due to the demands of adulthood - someone who only plays the occasional game. My last handheld Nintendo console was the black and white Game Boy Pocket in the early 90's, so I've been away from the platform ---- a while.I bought the Switch purely because I learned they had ported Skyrim to it, and as a huge fan of the Elder Scrolls genre I was hoping to devote some of my train commute to questing around Tamriel. In this sense, the Switch does not disappoint. I am not a graphics connoisseur, but - compared to the PC version - Skryim plays really well on the Switch. No perceptible lag, colors are crisp. Yes, it's missing the expansions and yes, the text can be a little small, but that's a fair trade-off for the portability this platform brings.So far, I only own 2 games - Skyrim and MarioKart 8 (another throwback to my college dorm days on the N64), and I love playing both on the Switch, MaroKart is obviously the newer game and so the graphics and gameplay are much better but I'm a still a sucker for Skyrim (at least until the next ES is released, hopefully in my lifetime).Anyway, all this to say the Nintendo Switch is a great console for busy adults who want to reminisce about the fun they had 10, 20, or even 30 years ago. The Switch doesn't take itself too seriously (which I love) but that means it might not be the right choice for people concerned with the perfect graphic or gameplay experience - there are dedicated consoles that do this much better. What the Switch does is make gaming on the go effortless, fun for the average busy person and something you can really enjoy with your whole family - which I think was Nintendo's real goal here all along.",1/5/23
"Elegant compromise between handheld and console In terms of raw horsepower (CPU, graphics, whatever) the Nintendo Switch is far behind the current generation of consoles like the XBox One.  But, the Switch is a unique device.  As a handheld, it is quite powerful (the latest iteration nearly doubles the handheld's battery life, addressing the Switch's greatest weakness).  This allows you to play the same game on your TV and keep playing it as you take it out with you --- a unique ability.Most importantly, there is a staggering array of software available for it.  Software is what makes or breaks a console, no matter how good it is.For example the Zelda game ""Breath of the Wild"" is a visual stunner with a huge open world.  And this is the first portable system that has the full version of Skyrim available for it (the reason I bought it --- a high quality port of Skyrim with the 3 add-on packs).  Nintendo has also done high quality ports of other gems from older consoles such as ""Mario Kart 8"" as well as a lot of new titles such as ""Super Smash Brothers Ultimate"" or ""Luigi's Mansion 3"".In addition,their digital store has a lot of quality indie games such as Stardew Valley.Also, if you purchase the Nintendo Switch Online membership ($20/year) Nintendo also gives you a large selection of NES and SNES classic games.  The membership is worthwhile for that alone.Basically, because Nintendo is ONLY selling the Switch as a current console (the 3DS is on its way out), all of their best software goes to the one console.  And that gives developers strong incentives to bring their best titles over as well.If you want a wide variety of games, the Switch is a good choice.  If you want THE best console graphics or performance, obviously the Switch isn't for you.",1/7/23
