Content,Date
"Good looking, lightweight, durable, and good features We got this on a treasure truck discount a while back to replace my wife's carry-on that broke. Black may not have been her first choice but it honestly does look pretty sharp. We haven't used this on a trip yet, but from opening the box and checking it out, it seems very well designed and built. I travel a lot more than she does, and I'm actually a little jealous that it was hers that broke and she gets this nice new one.It has a nice complement of pockets and straps for organizing your clothes and other travel necessities. There's an expansion ""joint"" for when you need to bring a little bit extra. The 360 spinner wheels are something my wife never put much importance on but I can't imagine not having them. The integrated TSA-friendly lock is also a nice touch and less hassle than using a separate padlock.What I think we are going to like the most about this is the durable hardside construction. Our 12-year-old wedding-gift luggage set, of which I'm still using mine, is soft-sided and is definitely showing the abuse that airline baggage handlers have put it through. That set is also Samsonite, by the way, so we already know the brand stands for high quality and longevity. This new one has a durable polycarbonate outer shell and I'm hoping it will hold up to rough handling much better than the soft ones.",2023-01-01
"Great overhead suitcase This was the first hard shell overhead suitcase I had purchased and was quite pleased.  It is durable, has more space than I expected, rolls easily, and the attached lock is easy to deal with.  The one feature I would have liked to have on it is a handle on the bottom that would make it easier to grasp when putting it in the overhead.",2023-01-01
"Suitcases themselves are Great... wheels suck. Let me start by saying I am a longtime Samsonite fan. All of my luggage has been Samsonite. I travel a-l-o-t for work and have loved the Samsonite brand for durability and travel smarts. Well, so far, this luggage set seems to be pretty durable but as far as the travel smarts... they missed the mark when it comes to the wheels.Let's start with the Good. I went with hard-sided this time as these are the polycarbonate which hold up far better to the grind of being thrown around by luggage handlers at the airports. From all of my reading, the non-polycarbonate type just don't hold up to that. Not to mention, much of my type of travel (I work in the film industry) is in and out of cars, along side my kit and other gear being loaded in and out... so lots of tossing and banging around. And they have held up like a champ so far (about a year of ownership so far & many, many trips since). Since they are hard sided, they lack the various external pockets that their non-hard sided counterparts have, but that is par for the course and is a trade-off for the durability.  They do have a much better clothing strap system inside than my previous Samsonite luggage. It really seems to hold everything in place far better and snug. In addition, on the one side has that typical zippered net closure as well. All three pieces have the expandability zippers and surprisingly (for this consummate overpacker), I don't need to utilize them much... nice to have though.One sort of wonky thing for me is, that they have an integrated TSA compatible lock that the zippers connect into, with a combination you can set. It's wonky because I have a difficult time with it. Maybe it's because of the length of my nails as I keep them fairly long, I have no idea. And it's not that I can't use it, I just seem to fight with it, especially the combination dials. Some may not have issues with it... might just be me.My biggest issue is the wheels... they just stink. I mean, horrible. The only ones that are somewhat okay, are on the biggest suitcase, but even that.. they just don't wheel great. Especially on any sort of carpet or textured surface... which is well, many surfaces you are rolling it on.  And when you get any sort of bump... like a transition at a doorway, forget it... they just won't go over it.  And the smaller suitcases? Ugh... just awful for wheeling. Most people like to or Need to attach some other bag to the handle of their main suitcase. Whether that be a toiletry bag, a computer bag a backpack or something else.... I haven't found one that doesn't want to dump the suitcase over. And trying to roll them, with something on top, attached to handle is like pushing it through quicksand. The concept that these are supposed to be spinner wheels is completely lost. You are constantly fighting it!  I literally give up and use them all like an old school suitcase that only has two wheels! Which defeats the purpose of buying a suitcase set with spinner wheels. And the smaller the suitcase, the worse it gets. The largest suitcase, when it's full... it's very difficult for me to use in a non-upright position as it's heavy. It's easier to roll as it has more weight to it (when full), but it's still difficult. Samsonite definitely missed the mark with these wheels. It's sad as it's the first luggage set I've not really been happy with.I'm just fortunate that most of my travel is by car and I usually have a cart with me for my mobile office so it's not as important. If I was traveling more by plane... I'd really be annoyed and probably would have returned it. The wheels are just horrible. So if you are traveling a lot where the wheels on the suitcase are expressly important.. make sure you test these out sufficiently or just try something else, as much as this Samsonite fan is pained to say that.",2023-01-01
"Great Product, but read this IMPORTANT ADVICE if shopping for your first hard suitcase This is a very good quality suitcase.  It was the first hard case that I've bought.  For the most part, I am satisfied, but I wish I had known a couple more bits of information before I purchased.  If you are also buying YOUR FIRST HARD CASE, read these IMPORTANT TIPS.  TIP #1: This case closes with a ZIPPER ONLY.  It does not have a latch.  Zipper-only hard cases are more vulnerable to malfunction because zippers can break or split apart with stress or excessive wear.  If the zipper splits on this case, you do will have a latch as a backup method to keep your case closed and you may find your self in a predicament when you need to check your broken-zippered bag at the airport.  Therefore, if you buy this case, be sure to also buy luggage straps.  Luggage straps are extremely effective to keep your case closed and will help prevent excessive stress or damage to the zipper.  When buying luggage straps, write your initials on each strap with a permanent marker.  This will not only help identify your bag in a busy airport, but also make the straps less desirable for thieves.  TIP #2: I bought the (very large) 28-inch version of this case because I wanted to have plenty of space to pack for long international trips.  In hindsight, I wish I had bought a size or two smaller because filling up a case this big with normal items like clothing, shoes, and toiletries will almost always put you over the airline weight limits (and be very heavy to lift).  The case is very light, but I can only fill it up about 75% to avoid paying the ""excess weight"" fees.  With the case being 25% empty, I have lots of open space in the bag and my belongings bounce around inside.  When I arrive at my destination, I often find my loosely packed belongings out of order and disheveled.  For my next suitcase, I will buy something a tad bit smaller so I can fill 90% or 100%.  When filled to 90-100%, my belongings would be tightly packed and more secure inside.",2023-01-01
"Nice piece I just received this. I was skeptical about the size maybe being too small. I check my luggage because it was too heavy to carry. But, the size is perfect.  This suitcase is very lightweight as opposed to a Hartman suitcase I have used for 10 years. Hartman, empty is heavy. One of the most important features I like about a hard shell case is it can be cleaned before you toss it up on your bed to unload it. It rolls great on floor and carpet. Amazon says it was made in Taiwan but the box says Thailand. Making the decision on the endless options of hardshell luggage was, that it WAS NOT made in China. That was my decision maker.",2023-01-01
 RECOMMEND THIS LUGGAGE Fist flight ✈️ about 12 hours with an change plane and the beat up from transfer than airport handling not very nice lol it took that like a pro nothing happened not even a dent..and I see others brands broken or come zipper ripped so well I RECOMMEND THIS LUGGAGE,2023-01-01
"durable I ordered 2 for our big trip. They did well on the train, ship, and airport check in.  We travel a lot and I hope this trend continues.  The airline is the worst. One cloth bag we bought for a similar price was ripped in the back on the first time flying.  That is when we started looking for a hard side.  So far it is durable and a good price.",2023-01-01
"Great suitcase I bought the 24” for a recent trip to EU. It held up great through all the checked bagging. I pulled it all around the cobbled streets of Prague, I was afraid a wheel would pop off but it did great!The expandability saved my life, I would not have been able to pack everything without it.I love that the suitcase alone is so light, I packed it to the brim, fully expanded and I was still under the 50lb limit.I do wish that it came with instructions on how to set your lock. I had to YouTube how to do this. I also with the handle had some cushion like my samsonite carryon. But that would just be an added bonus. All in all, I highly recommend.",2023-01-01
handle is difficult to put down Nice lightweight suitcase.  But the handle is not a smooth actuator.  Sometimes it’s a fight to get it to release.,2023-01-01
Excellent Carry On Was delivered in excellent condition but was missing the TSA key to change the combination lock.  Otherwise holds a lot more than I would have thought.,2023-01-02
Durable suitcase I love the red color.  This suitcase is easy to wheel around the airport.  I was able to fit in all my stuff without using the expander feature.,2023-01-02
"Didn’t qualify as carry-on on Frontier flight I thought that buying a 20”, I would be able to use it as a carry-on, but it was too thick.  I had to spend $100 to check it for both flights.",2023-01-02
Excelente producto para viajes Para viajes excelente producto es ligero y resistente,2023-01-02
Great Easy to maneuver and quite sturdy. Surprised how much I could pack. They also have good style.,2023-01-02
"Holds an amazing amount I received this carry-on for a Christmas gift. I love it! I am known for my ability to pack lots into a small bag. This new bag can hold lots if you pack smart. Using all my tricks, I can pack for two weeks in this carry-on bag!",2023-01-02
"No dividers inside... Overall a good value, just the very basics in a case. If that is what you are looking for, this will serve the purpose well.",2023-01-02
"Samsonite Omni luggage!!! Well pleased!!! Arrived as promised. Going on a cruise in April, will be used. Very nice looking.",2023-01-02
Lightweight The suitcase has a key lock and a combination lock.  The suitcase arrived without a key.,2023-01-02
Arrived on time The carry on suitcase was good quality & did not disappoint.  It expands which is a great feature,2023-01-02
Wonderful Suitcase I've had this suitcase for 5+ years and it still feels new. The suitcase is very durable and it's lightweight. I've taken it all across the world and have had no problems. It's very sturdy and and the exterior is made up of a very nice grippy material. The zippers and wheels are very smooth. I highly reccomend this suitcase to everyone.,2023-01-02
"Peso y diseño! Me gusto totalmente, no esperaba otra cosa!!",2023-01-02
"Just What I Needed I have tried various types of luggage and something was lacking in every single one.  I thought I would try another Samsonite, my older one wasn't a spinner.  I took this on a short 6 day trip to Mexico and I love it.  I pack very light and it was only half full.  Everything fit nicely with room to spare for things I bought.  It rolled nicely as long as there was no carpet.  But I have never had a bag roll on carpet very well.  I like the attached TSA lock, so I don't have my other one dangling.  The telescoping handle worked very smoothly.  I will purchase the 24"" one the next time I go on a longer trip.",2023-01-03
Easy to maneuver I have the carry on size of this suitcase.  I bought the larger one and am especially pleased with its size and ease of movement.,2023-01-03
"Exceeds the maximum linear dimension of 62”! The product is light weight and appears to be durable. Had I known the linear size was 65.5” which exceeds the airlines maximum of 62”, I would’ve never purchased two of these.  We leave on our trip tomorrow and it is too late to find replacements.  We will have to pay oversized baggage fees.  I’d recommend the TravelPro Maxlite 28 inch Hardside as it meets the 62” linear maximum.",2023-01-03
"Perfect!! Lightweight, great carry on. Holds plenty",2023-01-03
Fits everything. Really liked the color. Great size for two people. Would recommend this luggage.  Sturdy and rolls well. Took it to our trip from SFO to Florida and we easily identified it coming out of luggage carousel.,2023-01-03
"Great Suitcase We added this carry-on to our current set.  They are very light, yet sturdy.  Quick shipping from the seller was a plus.",2023-01-03
NOT ORANGE BUT COPPER COLOR The color and not having a front flap are the only two things lacking in this piece. I was excited to get orang or burnt orange but it was actually copper penny colored. Not what I wanted. Extremely well made looking and zippers were smooth and depth was impressive.,2023-01-03
Reliable luggage This luggage is light weight and easy to use. I can also charge my phone. It’s very convenient.,2023-01-03
"Smart suitcase, looks like it is built to last My last carry on suitcase served me well for over 12 years, accompanying me on countless trips, usually over-stuffed, through winter weather, through slush and rain and dragged across the cobble-stone streets in Berlin. In the last couple years it began to show it's age, but it wasn't until the handle finally ripped off and the inner lining tore a small hole on my most recent trip that I admitted it was finally time to move on.My initial inclination was to buy something cheap - I don't need fancy luggage, I got student loans to pay... So I was poking around and looking at options in the $30 - $40 market, and there were some that looked ok. But then I would dig into the reviews and read about them breaking on the first trip, or having stuck wheels or finicky handles... Not feeling satisfied I put off the purchase for a while. I went to a store and looked at some of these models in person, and I was startled by how flimsy they felt in person. They were not built to handle the abuse of transatlantic air-travel. Feeling ambivalent, I put off the decision yet again.Fast forward to Tuesday of this week, no suitcase purchased, my flight is Friday morning. I pull my old trusty carry-on out of storage and seriously debate taking it on one last journey... just one more time?? The suitcase does not want. So I come back to Amazon and search again until I find this suitcase. It's not super cheap, but it's not expensive either, and it has a great color, and good reviews, and it sturdy in the photos... I'm still undecided, but, well, clock is ticking, I bite the bullet.Suitcase arrived just in time for my flight :-) My roommate carried the box upstairs for me this afternoon and when I thanked her, commented on how light it was. As soon as I open it I am relieved, this is a strong and sturdy suitcase, and it looks smart. The handle is long, and slides out easily, doesn't rattle around like those other flimsier models did. Wheels are seemingly good quality. The body looks quite durable and scratch resistant, the zipper is good quality, oh and there's even a lock. It holds a lot of stuff for how small it is, and it is expandable which is helpful for people who sometimes overpack.UPDATE: Suitcase held up perfectly over 4 four flights over the holidays, on two of which it actually had to be checked because the flight was very full. Not a single scratch or dent, no signs of wear, and it was easy to travel with - rolled smoothly and easily, sturdy handle.",2023-01-03
AWESOME! SAMSONITE THE BEST HANDS DOWN!,2023-01-03
"Lightweight for sure, not sure on durability. Took it on a multi-flight trip to Europe and back, easy to move throughout the airport and doesn't show wear or tear, but it is lightweight. Fingers crossed it holds up, because everything fits in there!",2023-01-03
"Hard sided luggage I really like the look and it seems sturdy, but I have to return it. It’s too big for me.",2023-01-03
Great Bought used one but looks brand new. Looks tough and durable like my other one I have. Spinners work great. Wieght just over 10lbs,2023-01-03
Great luggage We brought this set for my daughter for a graduation/Christmas gift she has been very pleased with the set.,2023-01-03
"Basic and lightweight It's basic, lightweight, and more spacious than it appears in the picture. Purple color is accurate which is what my daughter loved about it. Delivery box was semi-open and item arrived with a slight scratch at the base but no consequential damage. Delivery date was perfect - it arrived earlier than expected. Overall, I'm satisfied.",2023-01-03
Very lightweight Very surprised that it has a TSA lock. Nice color spins like a dream.,2023-01-03
