Content,Date
"I got a notification from Calm at a mysteriously Perfect time. I’ve looked at the app before but wasn’t sure if I wanted to subscribe to something else that was just another app. I listen to the notification and I automatically felt some thing so I decided to try it for a little bit and see if it helps and then make my decision to go on with it or not, as a way to rewire my thinking and left more positively. I am one of those people who suffers from anxiety so much that it pretty much ruins my life. I am a very spiritual person, and all my intent and thoughts are on reaching a goal, and never giving up. So I’m deciding to try this application. With hopes that com can help me as they claim. I never set up notifications on my phone because it goes off all day and drives me crazy but I’m going to put calm on a notification so I know when it rings that it’s calm. I pray and believe that I can get help from Calm. If anyone’s really reading this, please set me up any way you can to help me out because I have a mother to take care of a family to take care of and a house to take care of along with many many other things, and I want to be able to live again and do those things better than I do already with my problem. I will put 110% into every word and every practice on this app. Please consider the people that really need this help and try to help me out as best you can. That’s all I can ask. Thank you for sending a notification. At the exact right time. I’m ready to do the work. I’ve been doing the work on my own, but I need guidance. God bless and have a wonderful day as I will also try to do. Thank you.
                                       Sincerely,
                                             Ted S.",2023-01-05
"I paid for the full membership, but it didn’t work.  I couldn’t access anything and clicking on “restore purchase,” it told me to create an account and supply them with my email address.  I hate sharing my email address.  Do you want my money or not?  

Well, I supplied them with my email address thinking I had to in order to make my PAID app work. Then the app told me to login with the Apple ID with which I bought the membership.  Umm… I only have one Apple ID.  The one I am using.  No matter what I did, I couldn’t get it to give me the access I paid for.

Aaaannnnd they immediately started spamming me.  I clicked on unsubscribe immediately without reading their idiotic sales pitch that I never wanted in the first place. I hate that crap.  

But they kept spamming me anyway. Clicked on unsubscribe again.  And I still couldn’t make my paid account work. For two days and some more unwanted spam later, I finally went to Apple and asked for a refund.  I got it. Thank goodness. 

The spam was immediate and really off-putting.  I am not putting up with that.  Put them on my junk sender list and deleted the app entirely.  I hate that they have my email address now, though. Super sketchy.",2023-01-02
"First off, I would like to say everyone is different and how this app effects them may vary. In my experience though it has helped me so much with my anxiety. It’s helped me sleep better and just feel much better about myself. I was struggling the last couple months with anxiety and it was causing me panic attacks and I started to get full blown insomnia. For two weeks I had totaled at 8 and a half hours of sleep the whole week (not one night). My cousin gifted me a yearly subscription for this app and genuinely have never been more grateful. If you have the resources to spend on this app and you really need it, I would definitely recommend giving it a chance. If you don’t have the money I’m not sure what the free version is like but it may be good. And a word of advice, also use resources outside the app for help as well! You got this and stay strong!",2023-01-07
"I was able to get a one year Premium subscription for super cheap with a special deal. After using it for a few days, the meditations are fine. What I find super frustrating is there is NO way to easily filter and search for meditations. For example, in another FREE app, I can filter by time, male vs female voice, key word (e.g. binaural), with or without music, even preview the voice. With Calm, there is no way to do that. You can only pick a category, like sleep or mediation. I prefer sleep meditations with music, but I have to literally play at least 30 seconds of each and every one or ff to see if it has it. I’ve already canceled my subscription to ensure it won’t renew next year because not at all worth full price at $70 when other apps for way less or free have better navigation and functionality.",2023-01-03
I started using the calm app when I was struggling and things were falling apart. Now I start my day off by meditating with the calm app. I listen to Tamar’s daily calm and it helps me to focus on what I want to concentrate for self improvement. Calm has helped me to make self care a priority which has improved my relationships with my family and friend. I live more in the moment that helps me to respond with kindness and compassion instead of react with anger and hurt. I now enjoy my own company and am learning to treat myself like I would treat my friends. Calm app has gently encouraged me to reflect on myself and the positive changes just followed. I look forward each morning to start my day listening to Tamara and then now also squeeze in Daily Jay and session with Jeff.,2023-01-07
"The sleep stories, meditations, etc with great narrators are just that - great! They’re really effective and I love the variety of offerings within each category. How. Ev. Er. I don’t know if she created the app and therefore voices many of the pieces, but Tamara Levitt’s voice makes my skin crawl. (I really mean no offense if you’re reading this Tamara! I’m sure you’re a wonderful kind human and I appreciate you!) It feels sickly sweet and overly gentle, the vocal fry and flirty lilt make it impossible for me to focus on the meditation. Like at all. It feels very self-conscious and fake. Like a Dove chocolate commercial. That’s obviously not the intention, it’s just way too much of a performance of a meditation guide for me. Other than that-love the app!",2023-01-05
"I’ve tried to incorporate meditation into my life so many times over the years, yet only since starting with the Calm app have I succeeded. The app has so much variety — from 1-minute to much longer guided meditations, varying approaches and diverse teachers or meditation leaders. There’s always something helpful there. I’ve gone from just the Daily Jay (Jay Shetty) mindfulness lessons to now turning to the Calm app 3 times most days - a mindful start with the Daily Jay, a midday break with one of the work-related meditations or one of the nap programs, and an evening mindfulness check-in. Everyone around me sees the difference. Most importantly, I see the difference. I’m coming up on 365 consecutive days of this, and I’m not going to stop.",2023-01-07
"The app is an excellent tool to add to your toolkit or coping skills so to speak. Incorporated into my daily routine it is a very effective quick way to check in to manage my stress and any other emotion I experience. As a licensed clinician working in the mental health field I have a duty to take care of myself above all things. Calm helps me relieve the stress of the work day and reminds me that I can only help others if I am at my best. Being centered and ready to take on the day with happiness, enthusiasm, and passion is the foundation of my existence. Adding Calm to my tool box, bag of tricks, or coping skills no matter what language you use this is a valuable addition to your self-care routine.
Susan Bergen",2023-01-06
Hi I’m Ellie and I have a very hard time getting a good amount of sleep that’s why I use kids stories on calm. Every time I can’t go to sleep I listen to a story and fall asleep almost immediately. I also sometimes use the breath or the daily move. I use the breath because it helps me relax and calm down. I use that daily move cus it helps my move stretch and it makes me feel tired. My favorite part about calm is the kids stories. My favorite story is raggedy an stories. I like that story because it reminds me of just being calm you know. Anyway this is why I use calm and I think if you have any trouble with breathing falling to sleep exercise and much more. Calm has it. 😊,2023-01-02
"I once thought this app was a good way to actually help stay calm. Unfortunately this is no longer the case. I was paying $69.99 a year for features that are actually free. I decided to cancel. It’s been a few months since I’ve had the service. 

On October 8th I get a message saying “here’s a 7 day trial to come back to Calm on Us” after the 7 day trial I would be charged $69.99 for the year premium account. Low and behold I was charged immediately. I notified apple as well as calm and both sides are putting up their hands like they can’t do anything. 

Do yourself a favor DO NOT PAY FOR THIS APP OR TAKE ANY SPECIAL PROMOTIONS FROM THEM. THEY WILL STEAL YOUR MONEY.",2023-01-04
"I downloaded this to try to find a free meditation app. There are so many subscriptions that I was hoping this free version would be decent. It’s not. In the middle of meditating, and finally getting my body to relax, ADS start playing. Do you know how jarring that is to a nervous system? Listening to calm music and all of sudden loud ads playing! I understand that these apps if free sometimes will have ads.. but geeeeez let people finish listening to a 15 -30 min meditation that you advertise as FREE before playing ads. 
Sad that even something that is supposed to help the mental health of people is trying to first find a way to make money off of you",2023-01-03
"I find trying to maintain streaks in apps stressful and anxiety producing. I meditate to when I can and to help myself, and not meditating one day is not a failure, it’s just a day I didn’t meditate.

I was so happy to find Calm had a setting to turn off streaks. I turned it off immediately and enjoyed not being guilt tripped by a relaxation app.

Welp, the latest update launched and immediately prompted me to add a “goal” of three Calm meditations per week, and added a seven day checklist at the top of the home tab. :( now I can’t even open the app without it guilting me towards obsess e behavior :(",2023-01-03
"Has some nice spoken relaxation segments, that are quite well done.  Also a lot of natural sound segments, rain, distant thunder.  My main complaints are:  Not enough spoken content, and of those they are very brief - less than 10 minutes.  Calm is a captive app, you can't download useful content to any other app like iTunes.  So if you find a spoken exercise that really helps you, you have to maintain the Calm app account to listen to it.  There is a lot of sound files that seem to be there as 'filler' as opposed to useful spoken content.  Finally, the price is ridiculously high for what you get.",2023-01-04
