Content,Date
"Tout était parfait ; l’endroit est magique! Un accueil très souriant , des soins haut de gamme dans une ambiance très zen ,des personnes à l écoute et un espace incroyable , tout est tellement pensé pour notre confort ! Produit de qualité et une telle attention à prendre soin de nous , je n'en revenais pas. Ce n'est pas mon premier massage mais je n'en avais jamais eu de cette qualité. Voilà donc un endroit qui porte bien son nom car j'ai vraiment passé un moment d'exception ! Je recommande 1000 fois et j'y retournerais avec plaisir.Concernant a mon brushing, la coiffeuse que s'est occupée de moi , elle est très professionnelle et très sympathique. Chacun de ses gestes était minutieux et prometais un beau résultat , elle brossait mes cheveux tout doucement pour ne pas les casser. Mes cheveux étaient souple , un odeur inexplicable il sentais vraiment bon ( il faut me dire pe non du produit utilisé pour que je puisse l’achète ) ils étaient très faciles à coiffer après .  Je les attache deux jours après et j’avoue que mes cheveux n’ont pas eu des traces après avoir été attaché …Je recommande à 100%!Merci à vous.",2023-01-01
"Tout était parfait ; l’endroit est magique! Un accueil très souriant , des soins haut de gamme dans une ambiance très zen ,des personnes à l écoute et un espace incroyable , tout est tellement pensé pour notre confort ! Produit de qualité et une telle attention à prendre soin de nous , je n'en revenais pas. Ce n'est pas mon premier massage mais je n'en avais jamais eu de cette qualité. Voilà donc un endroit qui porte bien son nom car j'ai vraiment passé un moment d'exception ! Je recommande 1000 fois et j'y retournerais avec plaisir.Concernant a mon brushing, la coiffeuse que s'est occupée de moi , elle est très professionnelle et très sympathique. Chacun de ses gestes était minutieux et prometais un beau résultat , elle brossait mes cheveux tout doucement pour ne pas les casser. Mes cheveux étaient souple , un odeur inexplicable il sentais vraiment bon ( il faut me dire pe non du produit utilisé pour que je puisse l’achète ) ils étaient très faciles à coiffer après .  Je les attache deux jours après et j’avoue que mes cheveux n’ont pas eu des traces après avoir été attaché …Je recommande à 100%!Merci à vous.",2023-01-05
"Tout était parfait ; l’endroit est magique! Un accueil très souriant , des soins haut de gamme dans une ambiance très zen ,des personnes à l écoute et un espace incroyable , tout est tellement pensé pour notre confort ! Produit de qualité et une telle attention à prendre soin de nous , je n'en revenais pas. Ce n'est pas mon premier massage mais je n'en avais jamais eu de cette qualité. Voilà donc un endroit qui porte bien son nom car j'ai vraiment passé un moment d'exception ! Je recommande 1000 fois et j'y retournerais avec plaisir.Concernant a mon brushing, la coiffeuse que s'est occupée de moi , elle est très professionnelle et très sympathique. Chacun de ses gestes était minutieux et prometais un beau résultat , elle brossait mes cheveux tout doucement pour ne pas les casser. Mes cheveux étaient souple , un odeur inexplicable il sentais vraiment bon ( il faut me dire pe non du produit utilisé pour que je puisse l’achète ) ils étaient très faciles à coiffer après .  Je les attache deux jours après et j’avoue que mes cheveux n’ont pas eu des traces après avoir été attaché …Je recommande à 100%!Merci à vous.",2023-01-07
"Le seul gros bémol en cet après-midi du jeudi 20 janvier 2022, a été le démontage de l échafaudage dans la cour intérieure au 29 rue du faubourg St Honoré qui n était pas du tout propice à la relaxation durant mes soins.  Un soin corps +zone ciblée 1h45 et le tout nouveau soin visage Cristal Morphologic 1h45  , normalement 3h30 de détente qui ont été plus qu'entravées par ces bruits incessants indépendants évidemment du personnel Carita toujours aussi accueillants. Un grand merci à Corinne pour son professionnalisme et les doses d'essai offertes dans le petit vanity,  pour compenser certainement ces désagréments. Les soins et les produis sont toujours aussi exceptionnels. J aurai apprécié un autre geste commercial mais n en tiendrai pas rigueur pour autant, Carita reste l institut par excellence cher à mon cœur.  Mme van HEUSDEN Samia.",2023-01-04
"Le seul gros bémol en cet après-midi du jeudi 20 janvier 2022, a été le démontage de l échafaudage dans la cour intérieure au 29 rue du faubourg St Honoré qui n était pas du tout propice à la relaxation durant mes soins.  Un soin corps +zone ciblée 1h45 et le tout nouveau soin visage Cristal Morphologic 1h45  , normalement 3h30 de détente qui ont été plus qu'entravées par ces bruits incessants indépendants évidemment du personnel Carita toujours aussi accueillants. Un grand merci à Corinne pour son professionnalisme et les doses d'essai offertes dans le petit vanity,  pour compenser certainement ces désagréments. Les soins et les produis sont toujours aussi exceptionnels. J aurai apprécié un autre geste commercial mais n en tiendrai pas rigueur pour autant, Carita reste l institut par excellence cher à mon cœur.  Mme van HEUSDEN Samia.",2023-01-07
"J’ai acheté le traitement neomorphose (215€) que je n’ai pas utilisé dans l’immédiat. Je les ai conservé dans la boîte (jamais ouverte jusqu’à 2 jours) et conservé au sec. En voulant commencer le traitement je me suis aperçue que les patchs avaient séchés et que par conséquent il n’était plus efficaces.L’institut dans lequel j’ai acheté ma boîte ne peut rien faire puisqu’ils ne font plus la marque Carita.Merci Carita, 215€ à la poubelle....17/09/2022 : Après 5 mois de réclamation, un virement de 215 euros vient de m'être effectué !!!! Non Carita je ne vous remercierai pas car je n'aurai jamais dû me battre pour cela. Où est le mot d'excuse ? Le geste commercial sur vos produits HORS DE PRIX ? Ce n'est pas grave je vous quitte et SANS REGRET pour FILLMED.A bon  entendeur ;-)",2023-01-04
"J’ai acheté le traitement neomorphose (215€) que je n’ai pas utilisé dans l’immédiat. Je les ai conservé dans la boîte (jamais ouverte jusqu’à 2 jours) et conservé au sec. En voulant commencer le traitement je me suis aperçue que les patchs avaient séchés et que par conséquent il n’était plus efficaces.L’institut dans lequel j’ai acheté ma boîte ne peut rien faire puisqu’ils ne font plus la marque Carita.Merci Carita, 215€ à la poubelle....17/09/2022 : Après 5 mois de réclamation, un virement de 215 euros vient de m'être effectué !!!! Non Carita je ne vous remercierai pas car je n'aurai jamais dû me battre pour cela. Où est le mot d'excuse ? Le geste commercial sur vos produits HORS DE PRIX ? Ce n'est pas grave je vous quitte et SANS REGRET pour FILLMED.A bon  entendeur ;-)",2023-01-07
"Je suis client Carita depuis des années, de même que mon épouse et notre fille. Carita est une histoire de famille. J’apprécie la gentillesse, le savoir-faire, le professionnalisme et l’humilité de Sylvain qui gère les équipes de main de maître. Bravo aussi à Sébastien et Benjamin mais aussi Benoit et Annie, adorables et talentueux eux aussi. Nous apprécions aussi le côté familial et pas m’as-tu-vu, reflets du chic à la française et d’une belle tradition. On espère juste que John Nollet, pétri de sa suffisance et de la très haute idée qu’il a de lui même (il n’a semble-t-il réussi à convaincre que l’Oréal) ne va pas changer cette admirable recette et que l’Oréal va savoir miser sur les vrais talents de cette belle maison.",2023-01-01
"Je suis client Carita depuis des années, de même que mon épouse et notre fille. Carita est une histoire de famille. J’apprécie la gentillesse, le savoir-faire, le professionnalisme et l’humilité de Sylvain qui gère les équipes de main de maître. Bravo aussi à Sébastien et Benjamin mais aussi Benoit et Annie, adorables et talentueux eux aussi. Nous apprécions aussi le côté familial et pas m’as-tu-vu, reflets du chic à la française et d’une belle tradition. On espère juste que John Nollet, pétri de sa suffisance et de la très haute idée qu’il a de lui même (il n’a semble-t-il réussi à convaincre que l’Oréal) ne va pas changer cette admirable recette et que l’Oréal va savoir miser sur les vrais talents de cette belle maison.",2023-01-05
"Je suis client Carita depuis des années, de même que mon épouse et notre fille. Carita est une histoire de famille. J’apprécie la gentillesse, le savoir-faire, le professionnalisme et l’humilité de Sylvain qui gère les équipes de main de maître. Bravo aussi à Sébastien et Benjamin mais aussi Benoit et Annie, adorables et talentueux eux aussi. Nous apprécions aussi le côté familial et pas m’as-tu-vu, reflets du chic à la française et d’une belle tradition. On espère juste que John Nollet, pétri de sa suffisance et de la très haute idée qu’il a de lui même (il n’a semble-t-il réussi à convaincre que l’Oréal) ne va pas changer cette admirable recette et que l’Oréal va savoir miser sur les vrais talents de cette belle maison.",2023-01-07
