Content,Date
"Disneyland visit for whole family including grandchildren 9/16/23  - 9/21/23.  Halloween themed decorations along with standard Disney signature decorating very nice.  The live entertainment in California Adventures was very good!  Spiderman, Wakanda Forever, Dr. Strange and the, fun, Guardians of the Galaxy Dance Off!!!   I would say it was one of the highlights of our visit.  These folks do a great job.  Most all the cast members exceeded the challenging job of staying kind, helpful and calm amid hordes of people needing and wanting different things and help.  Mobile food ordering is good.  Once we got the timing down, it was a great way not to waste time in, yet another, long line.  This brings me to the things we found “un-Magical” during our stay.  We spent extra $$ for Genie+ service for each ticket, each day.  Purchased Magicband+ for each person to maximize ease of joining attractions, reduce our time spent in lines (especially with little ones) and the promise of fun, interactive encounters that would cause the Magicband+ to react by lighting/vibrating.  All this is set up with your mobile device. I found myself spending too much time on my phone. Trying to “design” our Disney day was a challenge.  You can't reserve more than one ride within a certain time frame. Not all rides allow Lightening Lane and some require extra $$ on top of what you've already paid for LL, like the new Tune Town ride.  The standard wait for this ride was about 90min.  Imagine waiting in line with little ones for 90min!  Can any ride even live up to its expectation after a 2hr wait?? The standard lines are unbelievably long. You expect lines, but it sucks the fun and “magic” right out of your family when you must wait over an hour.  To add insult to injury, many of the rides broke down mid-ride!  We had to be escorted off two different rides in one day! In all the years I have come to Disneyland, that had never happened before. At CA Adventures after waiting 2hr for Radiator Springs, we finally got seated and it broke down half way through. We had to wait for help and be escorted, walking single file, through the ride. They tell you to come back when the ride is fixed and they will try to reduce your wait. But the ride broke 1 ½ hrs. before the park closed.  What were the chances they would get all of us back on the ride that night?  When would it even be fixed? This was roughly 3hrs of our day that we could not get back.  Rides would show a “wait time” of 30min. then become 1hr. because of malfunctions while we were waiting.  We missed other things we had reserved because of lines being unpredictable. Also, it was quite noticeable that many rides would just come to a stop mid-ride and you would sit there while the animation and sounds, and voices just stopped, like the ride was broken.  Indiana Jones did this twice for a prolonged period during some of the most intense moments of the ride.  When I told the cast member that the ride had malfunctioned while we were on it, she stated that they must slow the ride or pause it for some reason I did not understand.  But after checking with another cast member, we got the same reaction, like it was just “how it goes.”  It seems that there are too many guests on any given day at the park and despite how kind the cast members are, they cannot fix the problems of broken rides and the staggering, sheer volume of people.  It is seemingly impossible to maintain the “Disney Magic” under such circumstances.  I wish they had a more straightforward system of Lightening Lane passes.  The model that Universal Studios has, although more expensive, is more simplistic, straightforward, and satisfying at the end of the day.  We had some great moments during our visit, but until Disneyland gets a grip on the problems in the park, I would not recommend spending the money.  I know I will not be back for a long time, if ever. The hype and great memories of past experiences I’ve had go a long way, but I felt frustrated and sad that the high standards and “magic” Disney is known for, seems to be gone right now.",2023-01-04
"Disney has bots creating 5-star reviews. They’re all the same comment. READ THE HONEST REVIEWSIf you’re a Disney die-hard, easily impressed,  have kids, OK maybe. If you’re from far away, as a bucket list item, have expectations, or an amusement park enthusiast, hoping to be blown away by something unique, I would NOT recommend it.I’m not a “Disney Person” so I’m unbiased and wasn’t excited about going here, but my wife said she had a great time here back in 2012 and insisted we try again.If you are a Die-Hard fan, check it out if you’re in the area, but I would NEVER plan an entire vacation around this place. I can’t believe people spend thousands to bring an entire family here. You could go to Europe for probably the same price. 9 hrs and we had 8 rides (30min) plus the Monorail.The GOOD:Some of the rides are actually kind of fun. The rollercoaster rides are “decent”. The Matterhorn Bobsled, Incredicoaster, Thunder Railroad, all worth trying IF the lines are short.  Indiana Jones & Star Wars were OK.There’s bathrooms and water fountains and various food stops all over with pretty affordable (vegan) options, different cuisines, and seating. We saw 2 or 3 mascots walking around interacting, including Kylo Ren. The park seemed pretty clean, and the app was handy.The BAD:Our tickets were $150usd. Apparently there’s no capacity limit. The place was PACKED.The lineups are horrendous. And we went on a Tuesday, Sept 26 at 8am open. You will stand in the sun for an average of 30-45 min for a 3 minute ride. Some were 15-20min but some over 1.5hrs.The lines never seem to end. They start outside, go into different rooms, up stairs, double back and zig zag all over, so you never know how far you have left. You turn a corner and hope to see the end but it’s always more line. It’s probably worth considering the Lightning pass, but I don’t know the details.Most of the wait estimates in the Disney App were fairly accurate, but the lines are dynamic so don’t rely on the app. (Everyone will flock to the short lines and the wait jumps from 20 to 45 minutes).There’s very little shade, and absolutely no seating in any of the lines. How hard is it to put up a canvas shade and a couple benches?!Some of the rides are WAY too loud. The sound effects and voiceovers are obnoxiously deafening. If this was an industrial work environment, it would be deemed hazardous and you would wear hearing protection. Not to mention kids screaming in your ear, but I’ll let that slide.Several rides shut down for mechanical issues, Including Indiana Jones while we were at the front of the line. Space mountain wasn’t open. Avengers closed early.Some of the actors were very unenthusiastic. The StarWars “First Order” troops were all softspoken and it was hard to hear their instructions, let alone believe their roles. Many workers were just slack-wrist waving us into formations and not giving any real direction. There is very little signage around the park. You have to use the App for direction and just start walking.Speaking of walking, there’s no real practical transit system, even though there’s a monorail, trolleys, a railroad, and a parking garage shuttle. It’s just as practical to walk the entire park.Some of the sets/mannequins/special effects were just plain corny and cheap. It seemed every ride had only one or two “main features”.  The Pirates of the Caribbean was a bunch of plastic skeletons and freaky, robotic pirates lifting a sword/musket/bottle, or turning their head, while a few lights flashed around or mild splashes flicked water. The Star Wars ride had a few more lights and flashes, a 3D flight, and more mostly stationary mannequins.The Indians Jones ride had just one “interactive” feature.I expected more from a company with as much money as Disney.The food is pretty heavy. Don’t expect anything healthy. Not terrible though.  The lines for some food weren’t much better than the rides. Our wrap was fast, but Dole Whip on the app we still had to wait 30 minutes for our pickup time… for a Dole Whip…30 minutes!!",2023-01-07
"Going right when it opens and leaving when it closes will cause you and anyone you bring the worst waiting to get in and out of anywhere you've ever experienced.The park has remained the same on magic in its rides and entertainment, (other than they have a LOT more breakdowns these days...cough, cough, Radiator Springs). There's only one, MAJOR thing that overshadows a good experience here now.Since they canceled Fast Passes simply to generate more revenue regardless of ruining customer experience, you'll now see much more line crowders of large groups pushing past families throughout the entire line. It happens quite a lot without consequence for the offenders, so be prepared. What was once a brilliant system that maintained genius crowd control is now gone. The overcrowded parks had a good flow of movement before where lots of good shopping could take place in between rides because of the free Fast Passes. Now the super packed crowds are stuck in super long queues and on the trails to get to these queues.By doing this, their executives created a system that encourages line crowding and didn't devise a way to report line crowders. They've also very cruelly made sure standby lines move as slow as possible by only letting a painfully small amout of Standby people go on the ride at a time, regardless of how much space is available right at the ride. They hold off for those with purchased ""fast passes"". Fair enough for the couples with these passes because they didn't have to pay for children to get them but the 50 Lightning Lane to 15 Standby lane getting on the ride is just corporate bullying to drive sales over quality service. Arguably the number one thing that ruined the ""Happiest Place on Earth"" was getting rid of fast passes. Cast Members even seem more upset as they are on the front lines of dealing with angry customers more than ever before.Now if you want a semi-faster way to get on the rides, you'll need to purchase ""fast passes"" newly named Lightning Lane. I repeat, Lightning Lane,  not Genie+. Without purchasing Lightning Lane passes, you'll need to bring devices to entertain youth, (and yourself), while waiting in the excessively long queues. Nothing about Disney's new amusement park price increases were designed to stop overcrowded parks so be ready.There's also the newly deceptive, seemingly useless, and way too expensive  Genie+ pass. Anyone telling you to get this because it's a life saver, visited the pubs at the parks first, got wasted, and don't remember much of anything other than being drunk at Disneyland. This seems  to  only exist as a poorly thought-out idea of some executive to show they can squeeze more money from customers without really giving them anything in return. Save your money on this one as we found ourselves still not able to get on the main rides or much of anything without waiting in Standby lanes. We found out it's individual Lightning Lane passes that you absolutely need to get on the main rides. There's a difference between Genie+ and Lightning Lane passes so pay attention to what you're buying and read the fine print.It's become an extremely expensive destination, so have your vacation savings doubled up if you're an average family of average income. Of course, we didn't have the energy to shop after waiting in long queues all day when our Genie+ passes turned out to be a flop, so I didn't get to look at those prices. Disneyland will always be popular because of its legacy across the planet so people of all income levels will always flock there; especially now that humans are free to roam the world again after being closed in for two-three years.  Choose days less are willing to go there like on rainy days and/or major holidays so you can hopefully get what you paid for.",2023-01-05
"Wir (4 Personen) waren in beiden Parks, je einen Tag und hatten Genius+ (USD 25,--/Person) dazu gebucht.. Ist zwar sehr teuer, aber ohne wäre der Park sinnlos, da man sich sonst nur die Füße in den Bauch steht. Es sind soooo viele Leute dort, viele mit Kinderwagen oder Rollwagen, damit haben wir Mitte September nicht mehr gerechnet. Beim Eingang am besten gleich einen Plan in Papierform besorgen, so toll, dass es diesen noch gibt, damit bekommt man einen guten Überblick. Nur mit der App wäre das mühsam. Die App selbst ist sehr wichtig: Man sieht die Anstellzeiten und kann dann dementsprechendreagieren und dorthin gehen, inzwischen die Fastlane für eine Fahrt buchen. Ganz stimmen die Zeiten aber nicht, im Normalfall kommen noch einige Minuten Wartezeit dazu. Mit dem Genius+ pass kann man immer nur EINE Attraktion im voraus buchen, daher am besten immer sehen, wo in nächster Zeit ein Zeitfenster offen ist, gleich buchen und hingehen. Wenn man reingeht, kann man gleich das nächste buchen. Hat echt gut geklappt und wir konnten viele Fahrten in kurzer Zeit machen! Die tollen Attraktionen waren bereits morgens bis in den Nachmittag hinein ausgebucht, diese haben wir dann gemütlich am Nachmittag für abends vor der Abendshow gebucht. Man kann leider nicht alles machen und so sollte man wirklich im Vorfeld planen, was einem wichtig ist.Für die neue StarWars Fahrt gab es keine Möglichkeit der FastLane, auch nicht SingleLane. Man konnte entweder 1 – 1 ½ Stunden warten oder extra nochmals USD 25,--/Person aufzahlen. Anfangs dachten wir nur Abzocke, aber wenn man nun schon mal da ist… mit Handy eine Zeit gebucht, man konnten gleich hinein…. und das war die beste Attraktion EVER, man bekommt hier wirklich etwas geboten!Souvenirs waren viel zu überteuert, z.b. ein süsser Babyjoda aus Plüsch USD 43,-- + Tax, daher nichts gekauft.Als eher unfreundlich empfanden wir die dort angestellten Fotografen, sie waren gefühlt überall und haben uns des öfteren gesagt, wir sollen hier weg.Gegessen habe wir im Park nur etwas für den kleinen Hunger (Pizzaschnitte ca USD 9,--). Wir hatten das Best Western Hotel gleich wenn man aus dem Disney-Bereich raus kommt – näher geht es nicht. Nebenan Burger gekauft, im Zimmer gegessen, kurz ausgeruht und wieder in den Park zur Lichtershow. Ein anstrengender, aber unvergesslicher Tag!",2023-01-05
"We go to Disneyland every few years, but this trip was different and we had some hiccups. Still a magical place and love and highly recommend but wanted to bring up some comments since they didn't allow me to provide feedback this time around. After our world of color desert package reservation at 8pm on Sept 25 (which highly recommend the desert package), we were leaving and came across Mickey Mouse near the circle in Adventure Park. We waited over 15 minutes in line for my kid to see Mickey. When we were about 2 people away, we were told he had to leave (the female employee running the line was not very sympathetic and didn't care that we had waited so long). I wish they would have stopped the line so we didn't have to waste our time. Plus my kid was so disappointed. She held up her signature book as Mickey went by but nothing. I assume he didn't see her because of his costume. We never did get to see Mickey the remainder of the trip. Oh well.. not the happiest. It kind of was par for the day. Earlier that morning, it did not turn out so well for my daughter. My daughter age 8 wears a size 10 and we could not fit her in the Ariel outfit (size 12) she wanted for her Bippity Boppity appointment. They only had one adaptive outfit (Cinderella) that would not work well with her in a wheelchair as it was very puffy and I know the fabric would continually get caught in the wheels.They did give me a refund and charged for the lower package which was a t-shirt, ponytail and makeup so all was not lost. However, we had done the other package before (3 years earlier) and had a photo shoot in a costume with a coach, etc Plus I recall, we went through and she got to meet the princesses. So this time was disappointing since none of that was included. We did go to the Disneystore afterwards to try to find her an Ariel outfit and we did find one for her which was an adaptive Ariel outfit. We also found an Ariel attachment for the wheelchair. Just in time for Halloween.",2023-01-03
"One of the worst experiences ever. My family & I invested in the genie + pass in hopes of a better, faster experience. Wrong. This place needs work & some REAL organization. This place is hungry for money. I never thought Disneyland (Happiest place on earth) would be this stingy. I tried to stay positive for my family but I honestly feel bad for them for wasting so much money on a terrible experience. To go more in depth, the cars radiator springs ride doesn’t even include genie +, it’s an extra $20.00 more to add the lightning express pass. Therefore our pass was not eligible; and we stood in the general line for TWO hours (wait said 90 mins) and the ride kept breaking down a plethora of times. Didn’t even get to ride it, waste of time. If the ride hasn’t been working all morning I’d recommend shutting it down and doing some real maintenance on it. Not only was it the cars ride. The goofy flying school was closed, the Spider-Man ride was closed, and now currently waiting for the Guardians of Galaxy & now the ride is experiencing a code 302 (2 carts are now broken!!) AGAIN FIX THE PLACE! With the genie + we were only allowed to make reservations for THREE RIDES. Not only that. I tried to book rides that had shorter waits & the app told me I had reached my exceeded amount of booking ride reservations. Waste of money. Do something about it seriously. I am furious honeslty, will hesitate to come again & will make sure others who consider know what they’re getting themselves into. Everyone who came on October 8, 2023 should really get a refund for how many rides were broken & for the lack of maintenance. Another note, the park closes at 6 for the Oogie Boogie bash. So yeah time and money wasted. Genie + lightning passes apparently sell out and if they’re all booked you can’t use your PAID genie + for the ride. Annoying.OTHER NOTE: (so many things happened today it’s RIDICULOUS) the genie + only lets you book one attraction at a time",2023-01-05
"My first time being here as an adult was WOW. Where do I begin? I stayed at the Tropicana across the street, which was awesome from the room to the Staff Amazing Five stars to them! Disneyland 1#. Employees seem like robots they will tell you what you wanna hear when you want to hear it. However, you wanna hear it. They seem like very miserable, especially standing for HOURS. I even heard employees talking about using the restrooms multiple times just to sit down. I even asked an employee if you really liked your job face impression. Hell no, but then replied, ""Oh yes, they have multiple things to do to keep us busy."" 2# everywhere you go is PACKED and CROWDED with tons of people from getting food,  restrooms,  getting pictures taken , waiting in super long lines which paying for lightning pass has its times yes its worth paying for and sometimes it feels very pointless like why did I buy this when I can only use it for once every 2 hours! 🤣. Long lines for the restrooms / food court / shops / Rides / Picture taking / the entrance you get the idea . 3#. People who stand in line only to save spots for large numbers either for friends or family you could be in a line thinking that you are next up only to find out that six or nine people who are saying excuse me from behind you only because a person they know is in front of you for the ride this happened  to me a hand full of times 😡 and employees don't ever say anything especially if you are in the lightning lane! 4# The parks seem more crowded during the night 🌙 vs. during the day, I'm not sure why, Parents don't seem to keep their kids in line, and this can be either laying on the ground , crying nonstop , bumping into other guests and not having a care in the world the list goes on all I can really say is just be prepared when going! I will be returning for sure and hopefully have a better experience 😁.",2023-01-06
"Our experience this time was a bit less than magical. The dining system that was put in place over the last few years is very broken. We bought our tickets about a month before our visit. I knew that dining at our favorite restaurant, Blue Bayou, was going to be a bit tricky with the short lead time. What I wasn't expecting was that all table service at the park was now on the Disney Dining reservation system and would all be completely booked out a month prior to our arrival. We had to leave the park to get a nice meal. Something I noticed while at the park was that the restaurants have different hours than the park does. This is dumb! When we got there, we thought breakfast might be nice. The breakfast places don't open until 11am. What's that all about? The park opened at 8am. We did eventually find some breakfast in Fantasyland once that location opened up for the day.OK, Disneyland was open from 8AM-12AM. River Belle Terrace(formerly a popular breakfast place) is open from 11:30AM-8PM. Blue Bayou is open from 11AM to 10PM. Cafe Orleans is open from 11:30AM-8PM. The reason the dining reservations were not available was because the popular restaurants are at capacity during the limited hours they are open and closed while people are still at the park. They have created scarcity by limiting the hours. Also, the menus have changed. They have been simplified by removing all but a few items. We have been to Disney World and Disneyland Paris in the last few years and did not have an experience like this even with their dining reservation system in place.I think I'm done with Disneyland for a while. I have great memories there as a local kid but I worry that those memories will tarnish if I continue watching the park and guest experience decline. There are other amusement parks and even other Disney parks that can provide a better experience.",2023-01-01
"Awful. Besides a few rides, most of the rides aren't worth the wait at all. It gets way to crowded to even enjoy some of the rides as it gets way too cramped and way too crowded to really appreciate the scenery unless you'rethere early. The bathrooms are gross and unclean and the idk about the other bathrooms but the star wars bathroom I went to had no mirrors except for one badly lit, 2 person mirror that had a little line near the entrance. The stores all have the same boring simple stuff, it is very repetitive. I recommend getting your own Disney related stuff elsewhere such as ears and clothes. They hardly had a selection when it came to which movie you liked. Seems like they took away certain things because they were deemed slightly offensive or ""unwoke"". They even had pride stuff despite the lack of characters they have promoted for merchandise, and a random mini Whitehouse and room dedicated to Abraham Lincoln. It is confusing and there are no signs to really point you in the right direction besides landmarks and the names of each land unless you really spend time looking at the map. Everything is insanely overpriced, especially the legos. I've gotten the lego bonsai botanical set for 34 bucks at Barnes and noble whereas here it was whopping $134. I highly recommend getting there early or getting the lightning pass to speed up lines. Quite a few rides were out of order and after all that walking the monorail was out of order as well due to heat. Had to walk 30 minutes to my hotel room. So don't go on hot days either I suppose. Overall, the prices, the walking, the rides, and the lines, didn't feel like it was worth my time and the experience here was disappointing. I recommend saving your money and time for the one in Florida if you really want the Disney experience.",2023-01-05
"Myself & another friend went to Disney land LA for the first time in our lives & the experience over all was very underwhelming… At least for myself.You grow up your whole life hearing about this magical place and its experience but when you get there it’s just a regular theme park like any other place. The lines are unbearable, everything cost money when you are already putting in ALOT of money down just to have a decent time. The staff over all are just bored annoyed employees that call themselves cast members,they rush you and I understand it’s due to the high demand of customers but where is the magic? Where had it all gone?The SMELL in general was the absolute worst I used to hear about the park setting off wonderful smells throughout the park to entice guest and create wonder memories but now the park just absolutely reeks of human waste & it’s not an exaggeration. Not to mention the foul water that they have running through their pipes in order to get you to buy cold fresh water, I understand faucet water isn’t the best but my god that water running through those pipes might as well have come from their water rides.As all the 1 star comments before mine previously states , they NEED TO limit the amount of people that are going into the park for the day & maybe then with the employees not getting so overwhelmed THE MAGIC of Disney land can start to come back…it all must start somewhere.I would honestly be fine not coming back for another couple years if not more,it’s not that fantastic but if you’d like to spend time with family and hold your breath along with spending hundreds of dollars then by all means I hope you have a wonderful ,Disney full ,magical experience of your own.",2023-01-03
