Content,Date
"Meraviglia... si estende oltre la città del Vaticano, ed è la metà del principato di Monaco come km².. assolutamente da visitare, soprattutto per il museo di armi antiche, dei gioielli e delle reliquie dell'islam(ci sono pure il bastone di Mosè e i peli della barca di Maometto)",2023-01-01
"Muita, muita gente. Desisti de entrar na sala das joias, fila de 40 min. O local não é bem organizado em termos de informações.  Não perca sei tempo na fila do áudio guide. Não vale a pena, muito ruim de operar e acrescenta pouco.",2023-01-01
"Топкапы конечно, бесподобен во всей красе. Прекрасная архитектура, мусульманского стиля, очень красивая. Музей, много великолепных экспонатов. Очереди большие, но двигались быстро.",2023-01-01
מומלץ לביקור ולקנות כרטיסים לכול הכניסות.,2023-01-01
👍,2023-01-01
"Make sure you allow at least three or four hours to explore Topkapi Palace and its courtyards. There are many exhibits in the   various palace rooms from exquisite jewels to ancient swords, 15th century bows with quivers of arrows and an excellent exhibition of lavish clothing covering hundreds of years. One thing to watch out for is the free audio guide, yes it is free but you have to deposit either your passport or £100 cash or equivalent in other currencies so be prepared!",2023-01-01
"На мой взгляд по настоящему оценят этот дворец только фанаты сериала ""Великолепный век"" и религиозные люди. Огромные толпы народа, куча времени в очередях, если сравнивать с русскими дворцами - смотреть особо нечего.",2023-01-01
"I ordered Turkish tea and cake at a cafe located on the beach to the right of Topkapi Palace, and the lemon cheesecake was truly delicious.The atmosphere around the cafe near the Bosphorus Strait was free and cool.However, when paying, I don't know if it was a mistake, but the staff asked me to add 10 lira.  You need to check in detail.",2023-01-01
"Superbe palais, à visiter absolument",2023-01-01
This place is huge. Historical building still maintained well. Pleasantly surprised by the Islamic history. Also you need at least half a day to visit. Don’t bother with the audio sound guide you can barely hear the device.,2023-01-02
"Bien entrenu, n'hésitez pas à demander un guide audio gratuit. Il montre le monde du sultanat ottoman de l'intérieur.",2023-01-02
Everyone should visits this place as its having most valuable islamic history..,2023-01-02
C'est vraiment beau à voir 950tl l'équivalent de 32 euros mais ça vaut la.peine il ferme le mardi,2023-01-02
Great place to visit.,2023-01-02
Ένα τεράστιο και πολυ εντυπωσιακό μουσείο όλης της Οθωμανικής Αυτοκρατορίας. Πολυ εντυπωσιακά εκθέματα που σε ταξιδεύουν στο χρόνο. Να υπολογίζετε ότι θα χρειαστεί να αφιερώσετε τουλάχιστον 2-3 ωρες.,2023-01-02
"Obviously, an architectural master peace , so is the whole city of Istanbul , overpriced for a museum, in my opinion, but i guess it needs lots of cleaning . It can be ameliorated, and because of the huge apace diaplacement of item could be way better. Some of the staff are not very friendly, but i guess this is a thing apparently not limited to the topkapi museum in Istanbul.  It's better to go at 4 after all,  in the mornings, it's very crowded . Must go to to consider that you visited istambul.",2023-01-02
Muhtesem,2023-01-02
You need to allow atleast 2-3 hours to see everything. Be prepared to walk.,2023-01-02
Très intéressant. Dommage qu'il y avait trop de monde. Nous n'avons pas pu tout voir.,2023-01-02
Girişlerde biraz sıra oluyor ozellikle hazinenin orada o sebeple erken gitmek lazım.. haritaya bakarak gezmek daha iyi olacaktır.. harem bölgesi için ayrı bir ücret verilmesi gerekiyor müze kart geçmiyor biz 3 buçuk saatte gezdik ve çok yorulduk bir gün ayırmanız gerekiyor..,2023-01-02
Gayet ve güzel ve büyük bir ecdad mirası Ruhları Şad olsun,2023-01-02
"Quizás es una visita obligatoria, pero si dispones de poco tiempo, ya que recorrerlo entero te puede llevar más de dos horas, o si te lo tomas con calma puedes estar hasta 4 horas, porque para sus estancias suele haber cola, en una no entré porque al menos debería esperar 40 minutos para entrar. Por eso no le doy mejor valoración, Eso sí, las exposiciones que hay en sus pabellones son increíbles.",2023-01-03
Sitio especial para conocer la forma de vida cotidiana de los sultanes,2023-01-03
"Érdemes meglàtogatni, sokkal vannak, de minimális sorban állás volt. Nem bántuk meg ,hogy a drágább jegyet vettük.",2023-01-03
"Szép hely, látni kell",2023-01-03
Amazingggggg.... The next i will be visite in nov 22...,2023-01-03
Osmanlı sarayı olunca güzelliği üzerine konuşmak manasız.. Her bölümü ayrı güzel ve ihtişamlı fakat turist yoğunluğu çok fazla olduğu için her alana giremedik. Zaten gününüzün tamamını ayırsanız belki hepsini gezebilirsiniz. Bu arada girişi müzekart kullanarak yapabilirsiniz fakat bazı alanlar ekstra ücretli.,2023-01-03
Beautiful!,2023-01-03
Все супер,2023-01-03
Tarihi olarak gidilmesi gerekli olan bir yer.,2023-01-03
"Very good, it is big and you can buy entry for two items or add the area of ​​the Aren.It has an unmissable view of the city",2023-01-03
Çoooook güzeldi harikaydı,2023-01-03
