Content,Date
"Walmart Supercenter is a one-stop shopping destination that caters to a wide range of needs, from groceries to electronics, clothing, and more. With its extensive selection and affordable prices, it has become a go-to option for many families and individuals looking to efficiently tackle their shopping lists.The sheer size of the Walmart Supercenter can be overwhelming, but it ensures that shoppers have access to a vast array of products all under one roof. From fresh produce to household essentials, electronics, toys, and even automotive supplies, the store's diverse offerings make it convenient for customers to find everything they need in a single visit.The store's commitment to affordability is evident through its ""Everyday Low Prices"" philosophy, which appeals to budget-conscious shoppers. Additionally, special deals and discounts on various items provide even more opportunities for savings.Convenience is a key aspect of the Walmart Supercenter experience. With extended operating hours and locations spread across many communities, it accommodates various schedules and lifestyles. The availability of services like pharmacy, photo printing, and a variety of in-store departments adds to the convenience factor.However, the Supercenter's size can sometimes lead to a busy and crowded atmosphere, especially during peak shopping times. Additionally, the vast selection might require customers to navigate through different sections of the store to find specific items.In conclusion, the Walmart Supercenter offers a comprehensive shopping experience that prioritizes convenience, affordability, and variety. It's a great option for individuals and families looking to efficiently meet their shopping needs and find competitive prices on a wide range of products.",2023-01-06
"Absolute, horrible, sloppy, garbage. The last time I went to a Walmart was over 20 yrs ago in a different county. I didn't like it then, and it's sad to see 20 yrs later in a different county, it's the same. Nothing has changed.People damn near crawling over each other through aisles, shelves unorganized, sloppy with merchandise misplaced or on the floor, staff are rude and unhelpful, cashier's are ridiculously slow with lines going from the front of the store all the way to the back of the store. I went at night, during the week, about 30 minutes before closing and it was packed!! 10:30 pm and the store closes at 11:00pm. I had one item and I was on line for 45 minutes.Store front runners for the cashier's are awful and make cashier's run back and forth to ask questions or get help, which holds up the line even more.I'm not impressed with Walmart in-store shopping experience, at all. It'll be another 20 yrs before I go back again. I recommend using their website or order online to pickup or home delivery.",2023-01-06
"Super ghetto… I do not recommend. Many of the associates have attitudes. Also, it’s extremely packed which I understand is not anyones fault but the store is extremely messy. It is not organized. I asked an associate, “Can you please tell me where the candy is?” She replied, “the candy aisle.” 😒. No, sh— Sherlock. I replied, “Yes, the candy aisle but WHERE IS THE CANDY AISLE?” To which she replied, “On the other side.” She didn’t tell me a number or where it might be near.  Horrible service and the gentleman at the self-checkout acted like we were criminals. Never again. Also, the associates passing with the pallets need to be more aware where they are going, they almost drove over my foot twice!!  Awful. Just awful experience!!FYI… If anyone is looking for the candy, it is in aisle 5 past the produce.",2023-01-07
"Definitely never coming back!! Even 2 stars is too much to give. Took a little trip up here because I needed school supplies. Let me start off by saying that this whole place is unorganized. The only thing that was organized and that was on one section was the food stuff. It took me about 10-12 mins to find where the supplies were and they barely had any, they were just taking boxes out to fill the sections up. There were no notebooks, no loose leaf, no variety of big binders. Walked around for a bit to see what else I could find & then went to pay and that line wassssss crazy long. It was so long that it was passing and blocking peoples pass way at the hair section row.  Maybe it was cause it was the wknd but still not returning to this one.",2023-01-05
I was calling this Walmart since Monday until finally someone answer the phone on Thursday but the worker picked the phone up and hanged up the phone on me without saying anything to me.  That's very disrespectful  I already filed a complaint against the store.  These workers need to get fired They are very unprofessional And very Rude.   We don't need workers like that working at Walmart. This is the worst Walmart on long island. If You don't like your job find another job but don't take your anger or whatever issues you having on the customers because that's not our problem.,2023-01-06
Long linesLimited beetsNo pint container of heavy creamAll frozen pie crust were broken they been in the freezer over 3 months like thatNo frozen stuffed crust pizza with chickenCustomer service had only two workersThen another one came out to helpOther workers walking around the storeI didn't see the store manager walking around the store to check on customer service.Some people refused to wait on the long return line instead they went shopping and they'll check how the long the line is on their way out.,2023-01-06
"This Walmart is a HOT MESS!!!! Shelves are empty, food is separated into different aisle which gives half expired, half good, and to top it off a worker was using a heavy machinery in the middle of a busy aisle to clean up a small spill 🤔 why not just get a mop 🤷🏽‍♀️ non self check out register’s are limited, and they allegedly want you waiting in clothes aisle, to avoid blocking middle of walkway, I almost got into a fight because of this!! LORD I WOULD NEVER RETURN HERE!!!",2023-01-02
"This place is always packed and there are times that there is nothing in stock. Looks like the place got robbed. Also the workers hold u at the door trying to Itemize your receipt. Resulting in a long line just to leave the place. There is a parking lot but the there parking spaces are not wide enough, so the car next to you is so close that it's hard to get out of your car and high risk of someone damaging your car by there door hitting your car just so they can get in.",2023-01-05
I have to give props when it’s due. The store has improved over the last 2 years. I am no longer calling them Ghetto Mark. It’s clean well stocked. The only problem I have is that at 6 in the morning there are no cashiers. I do not like the self checkout. Then they are watching making sure that you pay for everything. Then they want to check your receipts at the door. So for that reason I gave them 3 stars.So I say cashiers for the early bird shoppers,2023-01-03
This place is like going into a third world country store can't find none of the workers to help you they're all hiding in the back of the store on their phones and the customers and the people that go into the store act like animals they got homeless people standing near the cash registers yelling at people and security doesn't do nothing this place is absolutely crazy compared to the ones in Upstate New York,2023-01-07
