Content,Date
"Ce jeu était passionnant jusqu’à il y a 3 semaines lorsque je clique sur entrée avec bonus, une pub apparaît et pour la retirer je clique sur la croix en haut à droite et j’ai un écran NOIR sur mon iPad mis à jour régulièrement, donc plus de jeu, même problème en sortant / entrant plusieurs fois. Problème signalé sur « assistance » plusieurs fois. Je constate que je ne suis pas la seule dans mon entourage et en lisant les avis des joueurs, Grrr…
J’ai désinstallé le jeu il y a 3 jours en espérant que vous aurez réglé les problèmes. 
Ultérieurement serait-il possible de réinstaller sans perdre mon avance dans le jeu ??? Merci de me transmettre la solution.",2023-01-01
"J’ai téléchargé Candy Crush soda après 2 ans sans y jouer 
Tout est fait maintenant pour nous maintenir sur le jeu : trop de bonus, trop de jeux en commun facebook 
Le plus décevant pour moi ce sont les graphismes : on ne peux plus parcourir la carte comme avant et découvrir des mondes différents, juste la petite fille et une pieuvre sur une carte immobile. Par ailleurs la petite fille n’est plus marionnette, elle nous regarde avec un air étrange et bouge nerveusement 
Bref - heureusement que la musique et le mode de jeu eux, n’ont pas changé !",2023-01-05
"Fatiguant et vide en plus faut repayer les récompenses qu’on gagne ( cochon d’or ) c’est vraiment de l’arnaque, j’ai re téléchargé le jeu pour voir si il avait eu du changement bah ça sera toujours sans moi y’a largement mieux je suis mieux récompensé pour l’effort d’avoir gagné un niveau vous c’est vous gagner une récompense pour le niveau bosse mais faut payer pour l’avoir mais lol changer de politique votre jeu est un échec l’argent et toujours mais le plaisir du joueur on s’en fou dans ses cas là faite rien!",2023-01-07
"Pourquoi ne puis-je plus retrouver ma progression depuis la mise à jour de candy crush soda ??? ce jour le 4 décembre 2021. C’est comme si je n’avais jamais joué et vous me faites redémarrer à un. Je ne suis pas d’accord… Merci de me répondre. J’aimais beaucoup ce jeu, il va me manquer. Salutations. De plus il était bien noté que je ne perdais pas ma progression et on me fait repartir de 1. C’est vraiment n’importe quoi. Je ne jouerai plus. Tant pis…Je trouve celà très moche de supprimer un jeu comme celà ….",2023-01-08
"Dire qu’avant j’adorais jouer à ce jeu, maintenant, je déteste car pour gagner un niveau soi-disant facile, il vous faudra être buté ou payer. En résumé, ou vous dépenserez à chaque niveau, ou vous perdrez à chaque niveau, à vous de choisir. Ce jeu n’est que truqué, et même si vous savez très bien jouer, vous ne gagnerez pas ou après plusieurs jours. Lamentable depuis 3 ans !!!
Ah L’ARGENT…..
Du coup, je vais arrêter parce qu’entre Homescapes et vous, vraiment trop c*****!",2023-01-07
Je ne comprends pas pourquoi a un certain stade on est forcé d’accepter des « amis » qu’on ne connaît pas. J’ai désinstallé le jeu pour ce qu’il ne me laissait pas jouer si je ne contactais pas une certaine Kimmy des États Unis en lui envoyant un cœur… non !! Je ne veux pas contacter Kimmy 🤬!! Laissez nous jouer en paix bon sang ! De toute manière j’ai enlevé l’appli et je ne l’installerai plus. C’est dommage parce que j’aimais bien y jouer.,2023-01-06
Je vient de comprendre le fonctionnement de se jeux . Il fait exploser exprès les bonbons que l on prépare pour ensuite nous faire payer ou nous laisse avec juste une case à sauter pour nous dire il en reste juste une et proposer des achats dommage j aimer bien se jeux mais arriver au niveau 890 trop de perte de temps pour au final se voir demander de payer tout le temps une arnaque bien ficeler pour payer je recommande pas se jeux,2023-01-05
"Malgré que je sois connectée à internet, pour vous je n’y suis pas.
J’ai tout vérifié si bien que je n’ai aucun bonus, plus de progression de booster, pas de course. Impossible de m’aligner avec mon téléphone qui m’a malheusement effacé l’appli lors d’une mise à jour. King me dit qu’il ne me connaît pas alors que je suis inscrite.
Sans compter toutes les coupures après les pub, si bien qu’on ne récupère pas le booster. TRÈS DÉÇUE",2023-01-06
"Je joue depuis 2016. Ce jeu est attractif et très plaisant. Mais ça fait maintenant plus d’1 mois que le jeu bug sur l’iPad . Écran noir, redémarrages intempestifs du jeu en plein milieu de partie, perte des bonus etc..D’après les derniers avis laissés en ligne, mon cas n’est pas isolé. Et rien n’est fait malgré de nombreuses plaintes. C’est bien dommage car je vais être obligé d’arrêter de jouer, cela devient insupportable",2023-01-05
"Voilà j’ai voulu réessayer de jouer mais l’arnaque continue.
Les parties sont perdues avant même de jouer et les bonus disparaissent sans que je les utilises.
Une escroquerie du début à la fin. Par contre les alertes pour acheter des bonus sont bien présentes donc vous dépensez votre argent mais vous n’avez rien en retour puisque tout s’envole comme par enchantement. Jeu à fuir..... j’ai beaucoup dépensé pour rien.",2023-01-05
