Content,Date
"This game is amazing, and I have been playing it for years. I would've given it 5 stars, but from the recent updates, the main page keeps showing me a connection problem. When I click it, it tells me connection error and check settings. I tried restarting the phone, deleting the app, and reinstalling it. Nothing works, and it's frustrating. I can't use certain surfers that I bought because it keeps showing me a loading symbol due to the error. Please fix this. UPDATE: SUPPORT SITE WONT OPEN!",2023-01-01
This game was fun at first but they don't upload frequently. It makes the game boring as its just the same thing over and over again but it just progressively gets faster overall I give this a 2 stars I recommend this for the first few weeks until u will get bored of it.,2023-01-06
The game is my fvrt game all time when i am 7 years old started this game and This is my fvrt game always and every year. When i first time get mobile first game was this i insatled I have no words to describe for this game. 🖤🍁,2023-01-02
"It's been a long time since I played this, and boy has it really improved. I love the fact that the subway trains are now Union Pacific and Santa Fe trains. I also love how the trains work more like trams!",2023-01-06
This game keeps on getting BETTER AND BETTER!!!🔥I love the new update you guys made and I've played this game for a LONG time so you guys deserve this for a hard work on this game! Thank you guys!🤩🔥,2023-01-03
I was Playing the game since 2018 but after u supported lgbtq I quited the game stop supporting lgbtq for u to earn a five star rating dont ever support lgbtq then youll gain the five star rating,2023-01-07
I really like this game and you should really check it out cuz it's definitely worth playing I don't remember any ads in this game my only complaint is that I don't have any complaints.,2023-01-06
Pretty nice game except now days I don't know if it's just me but if I want to watch an add to win an award or something the add just won't load no matter what. And yes I have wifi,2023-01-07
No matter how much i scor i just get the lowest score in ranked rewards the problems is we get result by opening events we dont even get a chance to open daily score option,2023-01-05
Thdfdudhydhdgdudhdjd hdh and r you so much 😘 for your time and I u will be there in train journey of your life ❤️ you so 💋 to me call you in train journey,2023-01-07
This game is different from other running games because it has many quests and more amazing!!!!!!!!!!!!!!!!!!!!!!,2023-01-05
This game was very entertaining and very good game but I never play this game because he gave me game addiction.,2023-01-01
Its a really fun game keeps me entertained and doesn't really have issues so with that it's a good game to play.,2023-01-06
i̶ r̶e̶a̶l̶l̶y̶ l̶i̶k̶e̶ t̶h̶i̶s̶ g̶a̶m̶e̶ s̶o̶ t̶h̶a̶t̶ w̶h̶y̶ l̶ g̶a̶v̶e̶ i̶t̶ f̶i̶v̶e̶ s̶̶t̶̶a̶̶r̶̶ 🥰🥰,2023-01-06
It's amazing at all ۔I play it mostly and it's level are achievable ۔that's why I rated it ۵ star,2023-01-05
This game is great for you when bored now this is not something to download if you want a rpg,2023-01-05
I like the new event of this game in some days so I not bored from this game🌟🌟🌟🌟🌟☺️☺️☺️,2023-01-07
Hi friends e game chala bavundi kani madhalo struck avutundi but anduke oka star pikesanh,2023-01-07
Dope game wish it had more maps and characters I this it should be a console game,2023-01-05
"What a great thing for relaxation, coming out of stress ... Keep updating it ...",2023-01-05
This is so so fantastic game in world I love it so much ❄️❄️🐱🐱🥰🥰😺😺😍😍😍,2023-01-07
Is my favourite 🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩,2023-01-07
I love it.... Tutti is my best character.... However more coins please...,2023-01-07
This game is so good! I recommend playing this if you like playing obbys,2023-01-07
Because I can run for a long time but then after that I die at the end.,2023-01-05
The back ground music sound is very low please high the background song,2023-01-06
It's a excellent game shayad hi koi hoga jisne yeh game nahi khela hoga,2023-01-07
The game just closes without saving progress. And the ads are too much,2023-01-07
The new update was totally scary we don't like it worst update ever..,2023-01-05
For this game I am giving 5 stars because of fun and I am so except,2023-01-07
Best and popular game in the world 🌎 I love this game 🎮🎮 so much,2023-01-07
This is a very nice game I had ever played and its just wowwww!!!,2023-01-01
I Love this Holloween set up it's a brand new smooth level...,2023-01-05
It's delaying again and again please do something about it,2023-01-06
Subway surfers is great game and new update is awesome💜,2023-01-02
Give an update for the app and do or best playing game,2023-01-05
Love the game but alot of lag and ads are everywhere,2023-01-06
This was my best but now I don't know what happened,2023-01-02
Love that new update and the game in general 👍👍👍,2023-01-06
777xrrr I used to play this game when I was little,2023-01-06
Good game 🎮 Good graphics 😁 Good control 🎛️,2023-01-02
Game subway is very hard so I LOVED the game,2023-01-07
Is game is very good and is game not Mena's,2023-01-01
Kitna accha game ha kaha se late ho ye game,2023-01-03
The app bug doesn't let it run on my device,2023-01-06
The game is kinda hard but ilove the game.,2023-01-05
I have a great experience of this game🦋🥳,2023-01-06
This game is great and I also liked it,2023-01-05
Wonderful gaming your speed chaking,2023-01-05
