Content,Date
"Tons of stuff. Indigenous from Canada, and still practice our culture. Give us back those pipes you are not supposed to have them!!! It was gone during our observations and being 'studied'. Not nice, please contact me if management reads this.Pipes are very sacred, and are not to be put together unless you have the gift and right to do so. My guess is that it is touched all willy nilly.Even if you drank alcohol within 4 days of touching it you are disrepecting it.Even if you have partner 'relations' and touch it you are disprecting it.If it is put together for no good reason (ie. ""Studying it""), this means connecting the pipe stem and bowl (they're in 2 different pieces), you better have a darn good reason why, because you will catch the attention of alot of spiritual helpers and the Creator.I'm sharing this because we learn through education. I'm sharing this because ignorance got us here in the first place and education will get us out.Some of these pipes were taken from gravesites (archaeological digs). When a pipe carrier is done physically on this world they either:1. Pass it on to a worthy carrier who is clean from drugs/alcohol/bad mind. Even deeper meaningful restrictions as you keep following the pipe road.2. Buried with carrier to help them get to the spirit world.If you have any decency, please feel free to reach out to me. Too long have my people stayed silent. We carry pipe (my family), and we dont take it lightly. We come from this picture you have displayed and the same area where Poundmaker is from.ekosi maka,Sincerely,wapastimWhite Horse",2023-01-06
"I had the incredible opportunity to visit the British Museum for two consecutive days, and even that didn't feel like enough time to truly explore this cultural treasure trove. The museum is a colossal space, housing an awe-inspiring variety of artifacts and exhibitions. For anyone who loves history and art, it's an unparalleled experience.I opted for the audio guide by downloading the museum's app, hoping for an enhanced experience. While the audio guide was somewhat average in its delivery, it still provided useful context and narratives that enriched my visit.The museum itself is bustling, drawing crowds from all corners of the world, testament to its global significance. For a more intimate experience, I highly recommend visiting early in the morning. Despite the crowds, amenities like cafes and bathrooms are plentiful, making the visit comfortable and convenient.The only downside was that the Elgin Marbles were not accessible during my visit, which was disappointing but didn't detract from the overall enriching experience.In conclusion, the British Museum stands as one of the world's leading museums, offering an overwhelming array of exhibits and artifacts. While the audio guide could use improvement, the museum's offerings are so expansive and intriguing that it's easily forgivable. Whether you're a casual tourist or a dedicated history buff, the British Museum is an absolute must-visit when in London",2023-01-03
"Whatever your position is in relation to the morality of Britain acting as a keeper of important historical artefacts from all around the world, it's undeniably amazing to visit such a place as this museum. Be prepared. If you're the kind of person who likes a more in-depth approach to each exhibition, you will not be able to see a significant part of it in a single day. It will be mostly a succession of visits over the years until you've covered it. You will see historically famous artefacts such as the Rosetta Stone and busts that inspired well-known memorable poems, amazing creations from the dawn of humanity, and other breathtaking wonders kept in pristine condition and given the respect they deserve. Be aware that because of its free entrance, even on weekdays and on school days, it will be eternally crowded, and you may have to fight your way through platoons of touring visitors with their guides, and battle to get in front of instagrammers and influencers to see main attractions. Nevertheless, completely worth it.",2023-01-06
"The British Museum, a place where history seeps from every nook and cranny, and the architecture is so impressive that even the statues are wondering if they could pull it off. It's like a labyrinth designed by an ancient history-loving architect with a sense of humor as dry as the Sahara.You'll encounter more artifacts than a seasoned time traveler's garage sale. From Egyptian mummies trying to play hide-and-seek with you to Greek statues striking poses that could give yoga instructors a run for their drachmas, the museum is a real-life ""Antiques Roadshow.""And if you ever lose your way amidst the treasures, don't fret; just consider it an exclusive behind-the-scenes tour. If the artifacts had a voice, they'd likely say, ""We've been collecting dust and historical anecdotes for eons, but we're always up for some witty banter and a chance to be the life of the museum party!"" 😄🏛️",2023-01-02
"Beautiful museum!It’s huge, so wear your walking shoes!The museum is free. I went on a Thursday afternoon and it was pretty busy. There are school field trips, bus tour groups, and plenty of other people visiting.You can check your cost for £2 and a bag for £2.50.The highlight is the Rosetta Stone! But there’s plenty of very interesting and amazing artifacts and art.The gift shop is huge and has tons of wonderful things to buy. Prices are a little high. It was £13.50 for a metal bookmark. You can spend an hour just in the gift shop.There’s a place to eat and drink inside.Give yourself at least 3-4 hours to go through.There are black cabs parked right outside if you need one. I got the nicest lady driver named Zoe to take me to my hotel.I’m going to go back again before leaving London. It was a wonderful experience.",2023-01-05
"Come to London to learn about your home country! All jokes about the British Empire aside, this actually is a really nice museum. The self guided audio tour through the application was quite nice.I will say, the History of the World tour does take you up and down the stairs several times and at one point even has you back track, but I imagine it's trying to do it in chronological order.As a result you walk through many other galleries between POIs on the self guided tour so you get to see a fair bit of it. It's quite interesting seeing all the things you've learned about in history class in person. Was even more amusing seeing things from my home town in the museum.Also: Visit the room with all the clocks. It's probably my favorite room. So many fascinating clocks from throughout time.",2023-01-02
"Love this place you canFind this place by South Kensington tubeBus 360 stops outsideThe museum is quite a  large place. You have a large information desk, plus if you feel adventures, pick up one of the free maps made availableEach place you wish to find is a room number to help all visitors to find the culture of your choiceLike most museums, this has a large collection  artefact from around the world from  Mummy's to Greek African  Chinese Indian Culture this place is Free to visit the museum also like to have donations but this only choice onlyThis is a place for age 7 till 60+",2023-01-05
"Uno de los museos más completo del mundo, con acceso gratuito a una muestra permanente inmensa. Culturas desde Grecia, Babilonia, Mesopotamia, Romana, China, Hindú, Europea, entre otras. Se brindan guías gratuitas con cupos limitados. No hay mapas en español y la aplicación con audioguia no está apta para todos los países,  recomendable descargar otra. Existen cafés dentro por si da hambre (luego de tanta historia).Discrepo de la tenencia por parte de Inglaterra de estos objetos, pero es cierto que los han preservado adecuadamente.Imperdible en Londres.",2023-01-05
"A place which will make you to understand our history , era of civilisation , explicit countries prosperity and architecture, a must visit place , need minimum 4 hours to 5 hours , if you are photographer and want to click many photos than you need a power bank as your battery will run out of charge by clicking photos . It is free but not for some galaries , better to book online in advance to avoid waiting period particularly during week ends .",2023-01-02
"Wspaniałe zbiory obejrzane trochę bo co to jest pół dnia dla zbiorów kultury i religii całego świata. W każdej sali mnóstwo skarbów niczego nie można odpuścić trzeba tam wracać przy każdym pobycie. W zasadzie wszystko o czym czytamy oglądamy filmy tam jest. Mumie egipskie ,porcelana chińska złote  bożki  posągi rzeźby a wszystko to w ogromnych ilościach. Wejście bezpłatne ale długie kolejki szybko posuwające się. Audio przewodnik jest.",2023-01-05
