Content,Date
Our favourite gelateria in Rome. An excellent range of flavours and extremely good value for money.,2023-01-03
Delicious and creamy what I can say more? If You looking for real italian gelato this is that place.,2023-01-07
Amazing choice of flavours! I had the coffee and vanilla. Absolutely divine. Will definitely return.,2023-01-07
"What can I tell : it was a BIG ice cream, super good and cheap. A lot of choice in terms of flavours.",2023-01-06
Lots of Ice cream fruit flavors which are hard to find usually. The ice cream is genuine and very good,2023-01-07
We shouldn’t have come. The gelato is not that good and the staffs are rude. 6 staffs ganged up on me.,2023-01-07
Great coffee and breakfast for in-house dining. But the best part is the icecream- the best. Thank you ❤️,2023-01-01
"The. Best. Gelato. Period. 
The addition of fresh whipped cream gives them an unfair advantage. Delicious",2023-01-07
"Delicious gelato. Got caramelised fig, pear and cinnamon. Topped it with their whipped cream. Highly recommend!",2023-01-07
"Cheap, tasty and big variety of flavors! Located in the city center. 

Could be a bit more as a portion though.",2023-01-07
"Excellent ice creams, alike in 1990 for my first visit to Roma. Generous and better quality/quantité/price ratio.",2023-01-07
Amazing icecream shop with a posibility to sitting there. The menu of icecream is wide and all kinds are very tasty.,2023-01-05
"Upon suggestion of a friend from Rome, i tried the icecream from Giolitti. It has been super! really an amazing one!",2023-01-06
Most delectable gelato!  Walked from the Pantheon in the rain just to have Giolotti gelato.  Used waz just to find it.,2023-01-03
Loved the Gelato here! Don’t let the line outside fool you. It goes by fast. This was a great spot for authentic gelato.,2023-01-03
"Amazing selection of Gelatis.  Coffee, granitas and pastries were delicious as well.

Always lines but moves very swiftly.",2023-01-08
"Traditional place for cafe, gelato and biscotti. 
Pistachio ice cream was amazing! 
Very popular so be ready to wait a bit.",2023-01-04
Delicious gelato with heaps of flavours to choose from! Even had the choice of whipped cream on top which I really enjoyed.,2023-01-07
Rude waitress. Never going to recommend them. The store should choose their waitress and teach them how to deal with respect.,2023-01-01
The bá-bá is amazing just the way it should be. Unfortunately the ice cream I haven’t tried…but the dolce is worth to try it.,2023-01-06
Okay you guys this was the best ice cream Ive ever had in my entire life. You have to try the Nutella- its not from this world,2023-01-07
"I tasted 4-5 icecream places in rome, not enough I know, but this was the best, make sure to come back for diefferent flavores!",2023-01-06
"Crazy Gnutella ice cream, just like eating out of the Can😋 despite the Big cue it only took 10 minutes and it was so delicious.",2023-01-03
"First time trying gelato. Wasn’t dissapointed, various flavours, good service, nuve tables outside where you can enjoy your cafe",2023-01-05
Absolutely delicious authentic gelato - tons of options and very generous portions! Super friendly servers too. Highly recommend!,2023-01-04
A 'must' when in Rome - Get a cone with bacio and champagne con panna (the whipped cream on top is free of charge and delicious).,2023-01-05
"This is the cutest gelato spot! They have a ton of delicious vegan gelato flavors. And it’s authentic gelato, not the fake stuff!",2023-01-06
Best ice cream I’ve tasted in Rome so far. They also have more sweets. A popular place so don’t expect to get a place to sit soon.,2023-01-06
"Our waiter Walter is very helpful and attentive, the best gelato and excellent service rolled into one!! Visited almost every day.",2023-01-07
"Popped in for an Aperol Spritz and was tempted by a Mont Blanc!! Table service was excellent, as was the Aperol! Highly recommend!!",2023-01-07
"Not the real italian ice cream, it is just a “tourist place” F&amp;B.  If you taste the real good one, you understand the difference",2023-01-02
Best gelatos in Rome! Do try the Fruit Di Biscos and Hazelnut Chocolate gelatos. They are also very big in size for a nominal prize.,2023-01-04
"Really nice ice-cream with many many options. Place can get really crowded but it is worth a wait, most likely best gillato in Rome.",2023-01-05
People are not respecting any safety measures. I warn you to visit this place. Very likely that you get infected at the first visit!,2023-01-06
Absolutely can't miss Giolitti. It is a roman institution and you'll be disappointed if you don't visit more than once on your trip!,2023-01-07
"If there is one place to choose for gelato in Rome, this is it! Go for the dark chocolate. There are lots of options to choose from.",2023-01-08
"Not so polite and thoughtful with customers. As a touristic place, they should have more patience and will to explain all the flavors",2023-01-03
"Small queue but worth the wait.
Loads of flavours - we got the Nutella which was so thick it was like eating it straight from the tub",2023-01-05
This is the best gelato I have ever had from a Gelateria and I have tried plenty. They also have a nice seating area with good service,2023-01-06
"Italian know their Ice cream and sweet  this is where you should go try the copa Giolitti it is rich decadence ,mango sorbet delicious",2023-01-07
"Must be one of the best ice cream I ever had, really good. Also, quite good value, I expected it to be more expensive from their fame.",2023-01-07
"Giolitti manifests old  time charm and elegance. Very good gelato, I particularily loved the pistachio, and the scenery is just lovely.",2023-01-02
"Best ice Cream in Rome hands down,
Great value to price ratio. Tastes are just amazing. Especially recommend to taste the nutella taste!",2023-01-07
"We’ve got the best experience. Truly very fresh POMEGRANATE, GRAPEFRUIT, RICE, ANANAS GELATO!
Very tasty desserts 
In the center of Rome",2023-01-07
Amazing little place. Such authentic and lovely desserts and the waiter was a true Gent! Brilliant service and fairly priced. Great find!,2023-01-05
The best gelato in rome. So many flavors to choose from and such big service. Truly a staple. Definitely a go to place when I am in rome.,2023-01-05
Good gelato! Good price for what you get. We paid 5€ for 3 scoops of ice cream. Lots of flavor choices! You can also sit and order coffee.,2023-01-02
Very popular gelataria. Queues were present eveytime we went but moved quickly. It was worth the wait. The ice creams/sorbets were superb.,2023-01-05
"Worst experiance in Rome!
The staff was very rude, and they didn’t let us sit at the empty tables. 
I DONT recommend this place to anyone!",2023-01-06
"This place is so good you won't be able to stop yourself from overindulging. I have Nutella and it was incredible, would highly recommend!",2023-01-07
"We stopped here on a hot afternoon. Enjoyed the chocolate chip, coffee, and chocolate gelatos. Best gelato we’ve had while we’ve been here.",2023-01-03
This IS the best ice cream i ve ever tasted. Very smooth texture full of flavour! There is a long queue to order but the wait was worth it!,2023-01-05
"Best gelato in Rome no doubt. Old school vibe. So many great flavors, loved the cinnamon and salted caramel. Well worth the visit and queue.",2023-01-04
Best ice cream in Rome! You will see a line out the door: don’t get discouraged! The ice cream is delicious and the pastries are outstanding!,2023-01-03
"Great Gelato! Went here because we saw the Obama's try it. Good choice for us!!! As a tourist, the service was good and the product was better.",2023-01-02
"Excellent ice cream lits of flavors that you do not know what to choose
Every one that qe have was excellent
One of the best ice creams in rome",2023-01-05
Delicious and authentic gelato. So many delicious flavours to choose from. You can sit inside and be served or just take out. Can get very busy.,2023-01-04
