Content,Date
Kundenservice:0Freundlichkeit an der Hotline: 0United: nie wieder,2023-01-02
La boisson cranberry cocktail c'est la meilleure que j'ai goûtée a bord d'un avion,2023-01-04
An airline that is always know for mistreatment of religious minorities and believes.,2023-01-03
United Airlines' user-friendly website make booking flights and managing travel plans a breeze.,2023-01-05
Basically just a money scam. Do not fly unless you only wanna bring the clothes you are wearing.,2023-01-07
"United Airlines er så dårlige. Flyet var forsinket, maden var muggen, bagagen var tabt😡😡😡😡😡😡",2023-01-03
ALWAYS LATE. This airline has never once been on time in all the times I’ve flown it in the last 4 years.,2023-01-05
Enorm slecht. Ze hebben een moslim 3 uur lang vast gehouden en gefouilleerd terwijl hij VOLLEDIG naakt was..,2023-01-03
This is what you get when you board a UAL flight; a disgusting table tray uncleaned for who knows how many flights.,2023-01-05
United sucks and so do the people working for them… I will never fly with United again! Horrible horrible horrible airline!,2023-01-05
My flight was cancelled because of weather conditions and I was not issued any refund or credit. Customer service was ZERO help.,2023-01-07
"3h Verspätung, Anschluss nicht erreicht, schlecht gelauntes Personal, keine Problemlösung! Unbedingt andere Gesellschaft wählen!!",2023-01-06
Schlechteste Airline auf der Welt!Nehmt eine andere nur nicht die!!Ich würde denen nicht Mal einen Stern geben wenn das möglich wäre!!!,2023-01-02
A bunch of criminals. Never fly United. I should have looked at videos on YouTube before flying with them. Absolutely disgusting company,2023-01-07
"Flight going out, fabulous air stewards very attentive! Coming back very different experience, grumpy air stewards not happy in their job.",2023-01-05
Horrible customer serviceI ordered a ticket and committed 4 timesI have been with an agent for more than an hour and he still hasn't helped me,2023-01-05
"United Airlines continues to miss the mark in all areas.  Seat management, flight cancelations, poor aircrafts,  low quality experience all around.",2023-01-07
"Overbooked flight, do all hand luggage had to be checked resulting in missed connecting fight, wouldn’t even talk about it, only responding “put the bag here",2023-01-06
"United is the only Airline I have never had a problem with. Maybe I am luck because of that, but I really can't complain about any service United has ever given me.",2023-01-05
They forgot 7 bags and we needed it the next day. Now they are arguing on whose fault it is. They don’t even care about us. They had so many problems with there planes.,2023-01-05
"United airlines is horrible, the planes I have been on are much like spirit. Not comfortable and no entertainment or outlets - I'll stick with Delta which is a lot better",2023-01-07
My flight ua31 was cancelled on 2023-07-16. I have been waiting in line for 2 hours now to be rebooked and still a long way to go. No response from phone or text agents either.,2023-01-05
